Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Spider-Man: No Way Home,"$804,793,477 ","4,336","$260,138,569 ",32.30%,"4,336",17-Dec,30-Jun,Sony Pictures Releasing
2,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ","4,300","$75,388,688 ",33.60%,"4,300",3-Sep,-,Walt Disney Studios Motion Pictures
3,Venom: Let There Be Carnage,"$213,550,366 ","4,225","$90,033,210 ",42.20%,"4,225",1-Oct,27-Jan,Sony Pictures Releasing
4,Black Widow,"$183,651,655 ","4,275","$80,366,312 ",43.80%,"4,160",9-Jul,-,Walt Disney Studios Motion Pictures
5,F9: The Fast Saga,"$173,005,945 ","4,203","$70,043,165 ",40.50%,"4,179",25-Jun,-,Universal Pictures
6,Eternals,"$164,870,234 ","4,090","$71,297,219 ",43.20%,"4,090",5-Nov,-,Walt Disney Studios Motion Pictures
7,Sing 2,"$162,790,990 ","3,892","$22,326,230 ",13.70%,"3,892",22-Dec,-,Universal Pictures
8,No Time to Die,"$160,891,007 ","4,407","$55,225,007 ",34.30%,"4,407",8-Oct,-,Metro-Goldwyn-Mayer (MGM)
9,A Quiet Place Part II,"$160,072,261 ","3,744","$47,547,231 ",29.70%,"3,726",28-May,-,Paramount Pictures
10,Ghostbusters: Afterlife,"$129,360,575 ","4,315","$44,008,406 ",34%,"4,315",19-Nov,10-Mar,Sony Pictures Releasing
11,Free Guy,"$121,626,598 ","4,165","$28,365,416 ",23.30%,"4,165",13-Aug,-,20th Century Studios
12,Jungle Cruise,"$116,987,516 ","4,310","$35,018,731 ",29.90%,"4,310",30-Jul,-,Walt Disney Studios Motion Pictures
13,Dune: Part One,"$108,327,830 ","4,125","$41,011,174 ",37.90%,"4,125",22-Oct,7-Apr,Warner Bros.
14,Godzilla vs. Kong,"$100,916,094 ","3,084","$31,625,971 ",31.30%,"3,064",31-Mar,-,Warner Bros.
15,Encanto,"$96,093,622 ","3,980","$27,206,494 ",28.30%,"3,980",24-Nov,-,Walt Disney Studios Motion Pictures
16,Halloween Kills,"$92,002,155 ","3,727","$49,404,980 ",53.70%,"3,705",15-Oct,-,Universal Pictures
17,Cruella,"$86,103,234 ","3,922","$21,496,997 ",25%,"3,892",28-May,-,Walt Disney Studios Motion Pictures
18,Space Jam: A New Legacy,"$70,592,228 ","4,002","$31,053,362 ",44%,"3,965",16-Jul,-,Warner Bros.
19,The Conjuring: The Devil Made Me Do It,"$65,631,050 ","3,280","$24,104,332 ",36.70%,"3,102",4-Jun,-,Warner Bros.
20,Candyman,"$61,186,570 ","3,569","$22,001,750 ",36%,"3,569",27-Aug,-,Universal Pictures
21,The Boss Baby: Family Business,"$57,300,280 ","3,688","$16,000,665 ",27.90%,"3,644",2-Jul,-,Universal Pictures
22,The Addams Family 2,"$56,489,153 ","4,207","$17,325,007 ",30.70%,"4,207",1-Oct,-,United Artists Releasing
23,The Suicide Squad,"$55,817,425 ","4,019","$26,205,415 ",46.90%,"4,002",6-Aug,-,Warner Bros.
24,Raya and the Last Dragon,"$54,723,032 ","2,375","$8,502,498 ",15.50%,"2,045",5-Mar,-,Walt Disney Studios Motion Pictures
25,House of Gucci,"$53,809,574 ","3,477","$14,423,794 ",26.80%,"3,477",24-Nov,-,United Artists Releasing
26,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$49,505,008 ","2,087","$21,234,994 ",42.90%,"1,614",23-Apr,-,FUNimation Entertainment
27,Clifford the Big Red Dog,"$48,947,356 ","3,700","$16,627,491 ",34%,"3,700",10-Nov,-,Paramount Pictures
28,Old,"$48,276,510 ","3,379","$16,854,735 ",34.90%,"3,355",23-Jul,-,Universal Pictures
29,Tom & Jerry,"$46,536,687 ","2,563","$14,112,629 ",30.30%,"2,475",26-Feb,-,Warner Bros.
30,The Forever Purge,"$44,539,245 ","3,058","$12,551,220 ",28.20%,"3,051",2-Jul,-,Universal Pictures
31,Mortal Kombat,"$42,326,031 ","3,114","$23,302,503 ",55.10%,"3,073",23-Apr,-,Warner Bros.
32,Peter Rabbit 2: The Runaway,"$40,501,717 ","3,346","$10,101,066 ",24.90%,"3,346",11-Jun,-,Sony Pictures Releasing
