Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Toy Story 3,"$415,004,880 ","4,028","$110,307,189 ",26.60%,"4,028",18-Jun,2-Dec,Walt Disney Studios Motion Pictures
2,Alice in Wonderland,"$334,191,110 ","3,739","$116,101,023 ",34.70%,"3,728",5-Mar,8-Jul,Walt Disney Studios Motion Pictures
3,Iron Man 2,"$312,433,331 ","4,390","$128,122,480 ",41%,"4,380",7-May,19-Aug,Paramount Pictures
4,The Twilight Saga: Eclipse,"$300,531,751 ","4,468","$64,832,191 ",21.60%,"4,468",30-Jun,21-Oct,Summit Entertainment
5,Harry Potter and the Deathly Hallows: Part 1,"$295,983,305 ","4,125","$125,017,372 ",42.20%,"4,125",19-Nov,7-Apr,Warner Bros.
6,Inception,"$292,576,195 ","3,792","$62,785,337 ",21.50%,"3,792",16-Jul,6-Jan,Warner Bros.
7,Despicable Me,"$251,639,815 ","3,602","$56,397,125 ",22.40%,"3,476",9-Jul,20-Jan,Universal Pictures
8,Shrek Forever After,"$238,736,787 ","4,386","$70,838,207 ",29.70%,"4,359",21-May,9-Sep,DreamWorks
9,How to Train Your Dragon,"$217,581,231 ","4,060","$43,732,319 ",20.10%,"4,055",26-Mar,22-Jul,DreamWorks
10,Tangled,"$200,821,936 ","3,603","$48,767,052 ",24.30%,"3,603",24-Nov,2-Jun,Walt Disney Studios Motion Pictures
11,The Karate Kid,"$176,591,618 ","3,740","$55,665,805 ",31.50%,"3,663",11-Jun,23-Sep,Sony Pictures Releasing
12,TRON: Legacy,"$172,062,763 ","3,451","$44,026,211 ",25.60%,"3,451",17-Dec,14-Apr,Walt Disney Studios Motion Pictures
13,True Grit,"$171,243,005 ","3,464","$24,830,443 ",14.50%,"3,047",22-Dec,28-Apr,Paramount Pictures
14,Clash of the Titans,"$163,214,888 ","3,802","$61,235,105 ",37.50%,"3,777",2-Apr,22-Jul,Warner Bros.
15,Grown Ups,"$162,001,186 ","3,534","$40,506,562 ",25%,"3,534",25-Jun,28-Oct,Sony Pictures Releasing
16,Little Fockers,"$148,438,600 ","3,675","$30,833,665 ",20.80%,"3,536",22-Dec,17-Mar,Universal Pictures
17,Megamind,"$148,415,853 ","3,949","$46,016,833 ",31%,"3,944",5-Nov,24-Feb,DreamWorks
18,The King's Speech,"$135,453,143 ","2,584","$355,450 ",0.30%,4,26-Nov,31-Mar,The Weinstein Company
19,The Last Airbender,"$131,772,187 ","3,203","$40,325,019 ",30.60%,"3,169",1-Jul,23-Sep,Paramount Pictures
20,Shutter Island,"$128,012,934 ","3,356","$41,062,440 ",32.10%,"2,991",19-Feb,10-Jun,Paramount Pictures
21,The Other Guys,"$119,219,978 ","3,651","$35,543,162 ",29.80%,"3,651",6-Aug,18-Nov,Sony Pictures Releasing
22,Salt,"$118,311,368 ","3,612","$36,011,243 ",30.40%,"3,612",23-Jul,28-Oct,Sony Pictures Releasing
23,Jackass 3D,"$117,229,692 ","3,139","$50,353,641 ",43%,"3,081",15-Oct,20-Jan,Paramount Pictures
24,Valentine's Day,"$110,485,654 ","3,665","$56,260,707 ",50.90%,"3,665",12-Feb,6-May,Warner Bros.
25,Black Swan,"$106,954,678 ","2,407","$1,443,809 ",1.30%,18,3-Dec,5-May,-
26,Robin Hood,"$105,269,730 ","3,505","$36,063,385 ",34.30%,"3,503",14-May,5-Aug,Universal Pictures
27,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950 ","3,555","$24,005,069 ",23%,"3,555",10-Dec,14-Apr,Twentieth Century Fox
28,The Expendables,"$103,068,524 ","3,398","$34,825,135 ",33.80%,"3,270",13-Aug,21-Oct,Lionsgate
29,Due Date,"$100,539,043 ","3,365","$32,689,406 ",32.50%,"3,355",5-Nov,27-Jan,Warner Bros.
30,Yogi Bear,"$100,246,011 ","3,515","$16,411,322 ",16.40%,"3,515",17-Dec,7-Apr,Warner Bros.
