Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Rogue One: A Star Wars Story,"$532,177,324 ","4,157","$155,081,681 ",29.10%,"4,157",16-Dec,4-May,Walt Disney Studios Motion Pictures
2,Finding Dory,"$486,295,561 ","4,305","$135,060,273 ",27.80%,"4,305",17-Jun,8-Dec,Walt Disney Studios Motion Pictures
3,Captain America: Civil War,"$408,084,349 ","4,226","$179,139,142 ",43.90%,"4,226",6-May,22-Sep,Walt Disney Studios Motion Pictures
4,The Secret Life of Pets,"$368,623,860 ","4,381","$104,352,905 ",28.30%,"4,370",8-Jul,29-Dec,Universal Pictures
5,The Jungle Book,"$364,001,123 ","4,144","$103,261,464 ",28.40%,"4,028",15-Apr,29-Sep,Walt Disney Studios Motion Pictures
6,Deadpool,"$363,070,709 ","3,856","$132,434,639 ",36.50%,"3,558",12-Feb,16-Jun,Twentieth Century Fox
7,Zootopia,"$341,268,248 ","3,959","$75,063,401 ",22%,"3,827",4-Mar,4-Aug,Walt Disney Studios Motion Pictures
8,Batman v Superman: Dawn of Justice,"$330,360,194 ","4,256","$166,007,347 ",50.30%,"4,242",25-Mar,16-Jun,Warner Bros.
9,Suicide Squad,"$325,100,054 ","4,255","$133,682,248 ",41.10%,"4,255",5-Aug,10-Nov,Warner Bros.
10,Sing,"$270,395,425 ","4,029","$35,258,145 ",13%,"4,022",21-Dec,11-May,Universal Pictures
11,Moana,"$248,757,044 ","3,875","$56,631,401 ",22.80%,"3,875",23-Nov,27-Apr,Walt Disney Studios Motion Pictures
12,Fantastic Beasts and Where to Find Them,"$234,037,575 ","4,144","$74,403,387 ",31.80%,"4,144",18-Nov,30-Mar,Warner Bros.
13,Doctor Strange,"$232,641,920 ","3,882","$85,058,311 ",36.60%,"3,882",4-Nov,16-Mar,Walt Disney Studios Motion Pictures
14,Hidden Figures,"$169,607,287 ","3,416","$515,499 ",0.30%,25,25-Dec,9-Nov,Twentieth Century Fox
15,Jason Bourne,"$162,434,410 ","4,039","$59,215,365 ",36.50%,"4,026",29-Jul,22-Dec,Universal Pictures
16,Star Trek Beyond,"$158,848,340 ","3,928","$59,253,211 ",37.30%,"3,928",22-Jul,20-Oct,Paramount Pictures
17,X-Men: Apocalypse,"$155,442,489 ","4,153","$65,769,562 ",42.30%,"4,150",27-May,28-Jul,Twentieth Century Fox
18,Trolls,"$153,856,089 ","4,066","$46,581,142 ",30.30%,"4,060",4-Nov,30-Mar,Twentieth Century Fox
19,La La Land,"$151,101,803 ","3,236","$881,104 ",0.60%,5,9-Dec,27-Apr,Lionsgate
20,Kung Fu Panda 3,"$143,528,619 ","3,987","$41,282,042 ",28.80%,"3,955",29-Jan,21-Jul,Twentieth Century Fox
21,Ghostbusters,"$128,350,574 ","3,963","$46,018,755 ",35.90%,"3,963",15-Jul,10-Nov,Sony Pictures Releasing
22,Central Intelligence,"$127,440,871 ","3,508","$35,535,250 ",27.90%,"3,508",17-Jun,1-Sep,Warner Bros.
23,The Legend of Tarzan,"$126,643,061 ","3,591","$38,527,856 ",30.40%,"3,561",1-Jul,15-Sep,Warner Bros.
