Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Barbie,"$636,238,421 ","4,337","$162,022,044 ",25.50%,"4,243",21-Jul,-,Warner Bros.
2,The Super Mario Bros. Movie,"$574,934,330 ","4,371","$146,361,865 ",25.50%,"4,343",5-Apr,7-Sep,Universal Pictures
3,Spider-Man: Across the Spider-Verse,"$381,311,319 ","4,332","$120,663,589 ",31.60%,"4,313",2-Jun,14-Sep,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,"$358,995,815 ","4,450","$118,414,021 ",33%,"4,450",5-May,-,Walt Disney Studios Motion Pictures
5,Oppenheimer,"$329,862,540 ","3,761","$82,455,420 ",25%,"3,610",21-Jul,-,Universal Pictures
6,The Little Mermaid,"$298,172,056 ","4,320","$95,578,040 ",32.10%,"4,320",26-May,14-Sep,Walt Disney Studios Motion Pictures
7,Wonka,"$218,402,312 ","4,213","$39,005,800 ",17.90%,"4,203",15-Dec,-,Warner Bros.
8,Ant-Man and the Wasp: Quantumania,"$214,504,909 ","4,345","$106,109,650 ",49.50%,"4,345",17-Feb,15-Jun,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,"$187,131,806 ","3,855","$73,817,950 ",39.40%,"3,855",24-Mar,15-Jun,Lionsgate
10,Sound of Freedom,"$184,178,046 ","3,411","$19,680,879 ",10.70%,"2,852",4-Jul,-,Angel Studios
11,Taylor Swift: The Eras Tour,"$180,756,269 ","3,855","$93,224,755 ",51.60%,"3,855",13-Oct,-,-
12,Indiana Jones and the Dial of Destiny,"$174,480,468 ","4,600","$60,368,101 ",34.60%,"4,600",30-Jun,14-Sep,Walt Disney Studios Motion Pictures
13,Mission: Impossible - Dead Reckoning Part One,"$172,135,383 ","4,327","$54,688,347 ",31.80%,"4,327",12-Jul,21-Sep,Paramount Pictures
14,The Hunger Games: The Ballad of Songbirds & Snakes,"$166,350,594 ","3,776","$44,607,143 ",26.80%,"3,776",17-Nov,-,Lionsgate
15,Transformers: Rise of the Beasts,"$157,066,392 ","3,680","$61,045,464 ",38.90%,"3,678",9-Jun,-,Paramount Pictures
16,Creed III,"$156,248,615 ","4,007","$58,370,007 ",37.40%,"4,007",3-Mar,18-May,United Artists Releasing
17,Elemental,"$154,426,697 ","4,035","$29,602,429 ",19.20%,"4,035",16-Jun,28-Sep,Walt Disney Studios Motion Pictures
18,Fast X,"$146,126,015 ","4,088","$67,017,410 ",45.90%,"4,046",19-May,-,Universal Pictures
19,Five Nights at Freddy's,"$137,275,620 ","3,789","$80,001,720 ",58.30%,"3,675",27-Oct,-,Universal Pictures International (UPI)
20,Migration,"$127,306,285 ","3,839","$12,453,275 ",9.80%,"3,761",22-Dec,-,Universal Pictures
21,Aquaman and the Lost Kingdom,"$124,481,226 ","3,787","$27,686,211 ",22.20%,"3,706",22-Dec,-,Warner Bros.
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586 ","3,950","$28,007,544 ",23.60%,"3,858",2-Aug,26-Oct,Paramount Pictures
23,Scream VI,"$108,161,389 ","3,676","$44,447,270 ",41.10%,"3,675",10-Mar,4-May,Paramount Pictures
24,The Flash,"$108,133,313 ","4,256","$55,043,679 ",50.90%,"4,234",16-Jun,17-Aug,Warner Bros.
25,Trolls Band Together,"$102,996,915 ","3,893","$30,002,525 ",29.10%,"3,870",17-Nov,-,Universal Pictures
26,M3GAN,"$95,159,005 ","3,628","$30,429,860 ",32%,"3,509",6-Jan,-,Universal Pictures
27,Dungeons & Dragons: Honor Among Thieves,"$93,277,026 ","3,856","$37,205,784 ",39.90%,"3,855",31-Mar,-,Paramount Pictures
28,The Equalizer 3,"$92,373,751 ","3,965","$34,604,229 ",37.50%,"3,965",1-Sep,-,Columbia Pictures
29,Anyone But You,"$88,319,668 ","3,055","$6,000,344 ",6.80%,"3,055",22-Dec,-,Columbia Pictures
30,The Nun II,"$86,267,073 ","3,743","$32,603,336 ",37.80%,"3,728",8-Sep,-,Warner Bros.
31,The Marvels,"$84,500,223 ","4,030","$46,110,859 ",54.60%,"4,030",10-Nov,-,Walt Disney Studios Motion Pictures
32,Meg 2: The Trench,"$82,600,317 ","3,604","$30,002,735 ",36.30%,"3,503",4-Aug,12-Oct,Warner Bros.
33,Insidious: The Red Door,"$82,156,962 ","3,188","$33,013,036 ",40.20%,"3,188",7-Jul,14-Sep,Screen Gems
34,Blue Beetle,"$72,488,072 ","3,871","$25,030,225 ",34.50%,"3,871",18-Aug,-,Warner Bros.
35,Killers of the Flower Moon,"$68,026,901 ","3,786","$23,253,655 ",34.20%,"3,628",20-Oct,-,Paramount Pictures
36,Haunted Mansion,"$67,653,287 ","3,740","$24,082,475 ",35.60%,"3,740",28-Jul,2-Nov,Walt Disney Studios Motion Pictures
37,Evil Dead Rise,"$67,233,054 ","3,417","$24,504,315 ",36.40%,"3,402",21-Apr,-,Warner Bros.
38,The Exorcist: Believer,"$65,537,395 ","3,684","$26,497,600 ",40.40%,"3,663",6-Oct,-,Universal Pictures
39,PAW Patrol: The Mighty Movie,"$65,231,360 ","4,027","$22,764,354 ",34.90%,"3,989",29-Sep,23-Nov,Paramount Pictures
40,Cocaine Bear,"$64,670,240 ","3,571","$23,260,790 ",36%,"3,534",24-Feb,-,Universal Pictures
41,Wish,"$63,973,821 ","3,900","$19,698,228 ",30.80%,"3,900",22-Nov,-,Walt Disney Studios Motion Pictures
42,Napoleon,"$61,524,375 ","3,500","$20,638,887 ",33.50%,"3,500",22-Nov,-,Columbia Pictures
43,The Color Purple,"$60,619,191 ","3,218","$11,737,072 ",19.40%,"3,203",25-Dec,-,Warner Bros.
44,Shazam! Fury of the Gods,"$57,638,006 ","4,071","$30,111,158 ",52.20%,"4,071",17-Mar,-,Warner Bros.
45,Godzilla Minus One,"$57,144,669 ","2,622","$11,419,975 ",20%,"2,308",1-Dec,-,-
46,Saw X,"$53,607,898 ","3,262","$18,309,301 ",34.20%,"3,262",29-Sep,-,Lionsgate
47,The Boys in the Boat,"$52,641,306 ","2,687","$8,400,548 ",16%,"2,557",25-Dec,-,-
48,Air,"$52,460,106 ","3,507","$14,456,279 ",27.60%,"3,507",5-Apr,-,-
49,Jesus Revolution,"$52,102,987 ","2,575","$15,882,067 ",30.50%,"2,475",24-Feb,-,Lionsgate
50,No Hard Feelings,"$50,452,282 ","3,208","$15,002,770 ",29.70%,"3,208",23-Jun,-,Sony Pictures Releasing
51,Talk to Me,"$48,299,436 ","2,379","$10,431,720 ",21.60%,"2,340",28-Jul,-,A24
