Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
29,300: Rise of an Empire,"$106,580,051 ","3,490","$45,038,460 ",42.30%,"3,470",7-Mar,29-May,Warner Bros.
30,The Maze Runner,"$102,427,862 ","3,638","$32,512,804 ",31.70%,"3,604",19-Sep,5-Feb,Twentieth Century Fox
31,The Equalizer,"$101,530,738 ","3,236","$34,137,828 ",33.60%,"3,236",26-Sep,11-Jan,Sony Pictures Releasing
32,Noah,"$101,200,044 ","3,571","$43,720,472 ",43.20%,"3,567",28-Mar,19-Jun,Paramount Pictures
33,Edge of Tomorrow,"$100,206,256 ","3,505","$28,760,246 ",28.70%,"3,490",6-Jun,11-Sep,Warner Bros.
34,Non-Stop,"$92,168,600 ","3,183","$28,875,635 ",31.30%,"3,090",28-Feb,29-May,Universal Pictures
35,Heaven Is for Real,"$91,443,253 ","3,048","$22,522,221 ",24.60%,"2,417",16-Apr,10-Aug,TriStar Pictures
36,The Imitation Game,"$91,125,683 ","2,402","$479,352 ",0.50%,4,28-Nov,14-May,The Weinstein Company
37,Dumb and Dumber To,"$86,208,010 ","3,188","$36,111,775 ",41.90%,"3,154",14-Nov,12-Feb,Universal Pictures
38,Annie,"$85,911,262 ","3,197","$15,861,939 ",18.50%,"3,116",19-Dec,15-Mar,Sony Pictures Releasing
39,Fury,"$85,817,906 ","3,313","$23,702,421 ",27.60%,"3,173",17-Oct,19-Jan,Sony Pictures Releasing
40,Tammy,"$84,525,432 ","3,465","$21,577,049 ",25.50%,"3,465",2-Jul,16-Oct,Warner Bros.
41,Annabelle,"$84,273,813 ","3,215","$37,134,255 ",44.10%,"3,185",3-Oct,18-Dec,Warner Bros.
42,The Other Woman,"$83,911,193 ","3,306","$24,763,752 ",29.50%,"3,205",25-Apr,14-Aug,Twentieth Century Fox
43,Penguins of Madagascar,"$83,850,911 ","3,775","$25,447,444 ",30.30%,"3,764",26-Nov,7-May,Twentieth Century Fox
44,Let's Be Cops,"$82,390,774 ","3,140","$17,813,722 ",21.60%,"3,094",13-Aug,11-Dec,Twentieth Century Fox
45,The Monuments Men,"$78,031,620 ","3,083","$22,003,433 ",28.20%,"3,083",7-Feb,18-May,Sony Pictures Releasing
46,Hercules,"$72,688,614 ","3,595","$29,800,263 ",41%,"3,595",25-Jul,16-Oct,Paramount Pictures
47,The Purge: Anarchy,"$71,962,800 ","2,856","$29,816,675 ",41.40%,"2,805",18-Jul,18-Sep,Universal Pictures
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$66,954,149 ","3,117","$18,360,230 ",27.40%,"3,088",10-Oct,26-Feb,Walt Disney Studios Motion Pictures
49,Think Like a Man Too,"$65,182,182 ","2,225","$29,241,911 ",44.90%,"2,225",20-Jun,17-Aug,Screen Gems
50,Exodus: Gods and Kings,"$65,014,513 ","3,503","$24,115,934 ",37.10%,"3,503",12-Dec,26-Feb,Twentieth Century Fox
51,The Nut Job,"$64,251,541 ","3,472","$19,423,000 ",30.20%,"3,427",17-Jan,8-May,Open Road Films (II)
52,God's Not Dead,"$60,755,732 ","1,860","$9,217,013 ",15.20%,780,21-Mar,7-Aug,Freestyle Releasing
53,Son of God,"$59,700,064 ","3,271","$25,601,865 ",42.90%,"3,260",28-Feb,5-Jun,Twentieth Century Fox
54,The Grand Budapest Hotel,"$59,301,324 ","1,467","$811,166 ",1.40%,4,7-Mar,26-Feb,-
55,Planes: Fire & Rescue,"$59,165,787 ","3,839","$17,509,407 ",29.60%,"3,826",18-Jul,13-Nov,Walt Disney Studios Motion Pictures
56,RoboCop,"$58,607,007 ","3,372","$21,681,430 ",37%,"3,372",12-Feb,18-May,Sony Pictures Releasing
57,Dracula Untold,"$56,280,355 ","2,900","$23,514,615 ",41.80%,"2,885",10-Oct,27-Nov,Universal Pictures
58,Horrible Bosses 2,"$54,445,357 ","3,400","$15,457,418 ",28.40%,"3,375",26-Nov,19-Feb,Warner Bros.
59,The Hundred-Foot Journey,"$54,240,821 ","2,167","$10,979,290 ",20.20%,"2,023",8-Aug,4-Dec,Walt Disney Studios Motion Pictures
60,No Good Deed,"$52,543,632 ","2,175","$24,250,283 ",46.20%,"2,175",12-Sep,2-Nov,Screen Gems
61,Selma,"$52,076,908 ","2,235","$571,450 ",1.10%,19,25-Dec,16-Apr,Paramount Pictures
62,Muppets Most Wanted,"$51,183,113 ","3,194","$17,005,126 ",33.20%,"3,194",21-Mar,17-Jul,Walt Disney Studios Motion Pictures
63,Ouija,"$50,856,010 ","2,899","$19,875,995 ",39.10%,"2,858",24-Oct,18-Dec,Universal Pictures
64,The Boxtrolls,"$50,837,305 ","3,464","$17,275,239 ",34%,"3,464",26-Sep,5-Feb,Focus Features
65,Jack Ryan: Shadow Recruit,"$50,577,412 ","3,387","$15,451,981 ",30.60%,"3,387",17-Jan,3-Apr,Paramount Pictures
66,If I Stay,"$50,474,843 ","3,157","$15,679,190 ",31.10%,"2,907",22-Aug,6-Nov,Warner Bros.
67,The Book of Life,"$50,151,543 ","3,113","$17,005,218 ",33.90%,"3,071",17-Oct,26-Feb,Twentieth Century Fox
68,About Last Night,"$48,637,684 ","2,253","$25,649,011 ",52.70%,"2,253",14-Feb,27-Apr,Screen Gems
69,Into the Storm,"$47,602,194 ","3,434","$17,346,427 ",36.40%,"3,434",8-Aug,20-Nov,Warner Bros.
70,The Judge,"$47,119,388 ","3,003","$13,116,226 ",27.80%,"3,003",10-Oct,15-Jan,Warner Bros.
71,Jersey Boys,"$47,047,013 ","2,905","$13,319,371 ",28.30%,"2,905",20-Jun,25-Sep,Warner Bros.
72,Blended,"$46,294,610 ","3,555","$14,284,031 ",30.90%,"3,555",23-May,28-Aug,Warner Bros.
73,The Giver,"$45,090,374 ","3,003","$12,305,016 ",27.30%,"3,003",15-Aug,11-Dec,The Weinstein Company
74,St. Vincent,"$44,137,712 ","2,552","$109,878 ",0.20%,4,10-Oct,5-Mar,The Weinstein Company
75,Need for Speed,"$43,577,636 ","3,115","$17,844,939 ",40.90%,"3,115",14-Mar,19-Jun,Walt Disney Studios Motion Pictures
76,A Million Ways to Die in the West,"$43,139,300 ","3,160","$16,797,385 ",38.90%,"3,158",30-May,17-Jul,Universal Pictures
77,John Wick,"$43,037,835 ","2,589","$14,415,922 ",33.50%,"2,589",24-Oct,22-Jan,Lionsgate
78,Birdman or (The Unexpected Virtue of Ignorance),"$42,340,598 ","1,213","$424,397 ",1%,4,17-Oct,16-Apr,-
79,Dolphin Tale 2,"$42,024,533 ","3,656","$15,873,397 ",37.80%,"3,656",12-Sep,18-Dec,Warner Bros.
80,The Expendables 3,"$39,322,544 ","3,221","$15,879,645 ",40.40%,"3,221",15-Aug,16-Oct,Lionsgate
81,Earth to Echo,"$38,934,842 ","3,230","$8,364,658 ",21.50%,"3,230",2-Jul,30-Oct,Relativity Media
82,Sex Tape,"$38,543,473 ","3,062","$14,608,152 ",37.90%,"3,062",18-Jul,21-Sep,Sony Pictures Releasing
83,Wild,"$37,880,356 ","1,361","$606,810 ",1.60%,21,3-Dec,7-May,-
84,Million Dollar Arm,"$36,457,627 ","3,019","$10,515,659 ",28.80%,"3,019",16-May,21-Aug,Walt Disney Studios Motion Pictures
85,The Theory of Everything,"$35,893,537 ","1,220","$208,763 ",0.60%,5,7-Nov,16-Apr,Focus Features
86,This Is Where I Leave You,"$34,296,320 ","2,868","$11,558,149 ",33.70%,"2,868",19-Sep,4-Dec,Warner Bros.
87,The Gambler,"$33,680,992 ","2,494","$9,129,999 ",27.10%,"2,478",25-Dec,19-Feb,Paramount Pictures
88,Paranormal Activity: The Marked Ones,"$32,462,372 ","2,883","$18,343,611 ",56.50%,"2,867",3-Jan,20-Feb,Paramount Pictures
89,Nightcrawler,"$32,381,217 ","2,766","$10,441,000 ",32.20%,"2,766",31-Oct,5-Feb,Open Road Films (II)
90,Chef,"$31,424,003 ","1,298","$204,961 ",0.70%,6,9-May,11-Sep,Open Road Films (II)
91,Get on Up,"$30,703,100 ","2,469","$13,585,915 ",44.20%,"2,468",1-Aug,18-Sep,Universal Pictures
92,3 Days to Kill,"$30,697,999 ","2,872","$12,242,218 ",39.90%,"2,872",21-Feb,15-May,Relativity Media
93,Deliver Us from Evil,"$30,577,122 ","3,049","$9,740,471 ",31.90%,"3,049",2-Jul,10-Aug,Screen Gems
94,When the Game Stands Tall,"$30,127,963 ","2,766","$8,381,509 ",27.80%,"2,673",22-Aug,2-Nov,TriStar Pictures
95,Draft Day,"$28,842,237 ","2,781","$9,783,603 ",33.90%,"2,781",11-Apr,19-Jun,Lionsgate
96,Oculus,"$27,695,246 ","2,648","$12,005,402 ",43.30%,"2,648",11-Apr,26-Jun,Relativity Media
97,The Best of Me,"$26,766,213 ","2,936","$10,003,827 ",37.40%,"2,936",17-Oct,15-Jan,Relativity Media
98,A Walk Among the Tombstones,"$26,307,600 ","2,714","$12,758,780 ",48.50%,"2,712",19-Sep,23-Oct,Universal Pictures
99,That Awkward Moment,"$26,068,955 ","2,809","$8,742,109 ",33.50%,"2,809",31-Jan,3-Apr,Focus Features
100,Boyhood,"$25,352,281 ",775,"$387,618 ",1.50%,5,11-Jul,22-Mar,IFC Films
101,Top Five,"$25,317,471 ","1,426","$6,896,593 ",27.20%,979,12-Dec,5-Feb,Paramount Pictures
102,The November Man,"$25,018,119 ","2,776","$7,911,597 ",31.60%,"2,776",27-Aug,30-Oct,Relativity Media
103,Endless Love,"$23,438,250 ","2,896","$13,307,125 ",56.80%,"2,896",14-Feb,20-Mar,Universal Pictures
104,Pompeii,"$23,219,748 ","2,658","$10,340,823 ",44.50%,"2,658",21-Feb,20-Apr,TriStar Pictures
105,Transcendence,"$23,022,309 ","3,455","$10,886,386 ",47.30%,"3,455",18-Apr,19-Jun,Warner Bros.
106,"As Above, So Below","$21,321,100 ","2,650","$8,632,820 ",40.50%,"2,640",29-Aug,9-Oct,Universal Pictures
107,Brick Mansions,"$20,396,829 ","2,647","$9,516,855 ",46.70%,"2,647",25-Apr,3-Jul,Relativity Media
108,"I, Frankenstein","$19,075,290 ","2,753","$8,610,441 ",45.10%,"2,753",24-Jan,20-Mar,Lionsgate
109,The Legend of Hercules,"$18,848,538 ","2,104","$8,868,318 ",47.10%,"2,104",10-Jan,13-Mar,Lionsgate
110,Bears,"$17,780,194 ","1,790","$4,776,267 ",26.90%,"1,720",18-Apr,17-Jul,Walt Disney Studios Motion Pictures
111,Addicted,"$17,390,770 ","1,037","$7,485,346 ",43%,846,10-Oct,4-Dec,Lionsgate
112,A Haunted House 2,"$17,329,486 ","2,310","$8,843,875 ",51%,"2,310",18-Apr,12-Jun,Open Road Films (II)
113,A Most Wanted Man,"$17,237,855 ",801,"$2,687,227 ",15.60%,361,25-Jul,13-Nov,Roadside Attractions
114,Begin Again,"$16,170,632 ","1,302","$134,064 ",0.80%,5,27-Jun,16-Oct,The Weinstein Company
115,The Single Moms Club,"$15,973,881 ","1,896","$8,075,111 ",50.60%,"1,896",14-Mar,1-May,Lionsgate
116,Devil's Due,"$15,821,461 ","2,544","$8,308,220 ",52.50%,"2,544",17-Jan,20-Mar,Twentieth Century Fox
117,And So It Goes,"$15,160,801 ","1,816","$4,642,329 ",30.60%,"1,762",25-Jul,2-Oct,Clarius Entertainment
118,Step Up All In,"$14,904,384 ","2,072","$6,469,857 ",43.40%,"2,072",8-Aug,2-Oct,Lionsgate
119,Beyond the Lights,"$14,618,727 ","1,789","$6,200,284 ",42.40%,"1,789",14-Nov,5-Feb,Relativity Media
120,Big Eyes,"$14,482,031 ","1,408","$3,001,738 ",20.70%,"1,307",25-Dec,26-Mar,The Weinstein Company
121,America: Imagine the World Without Her,"$14,444,502 ","1,105","$38,608 ",0.30%,3,27-Jun,4-Sep,Lionsgate
122,Left Behind,"$14,019,924 ","1,887","$6,300,147 ",44.90%,"1,825",3-Oct,11-Dec,Freestyle Releasing
123,Sin City: A Dame to Kill For,"$13,757,804 ","2,894","$6,317,683 ",45.90%,"2,894",22-Aug,9-Oct,-
124,Labor Day,"$13,371,528 ","2,584","$5,175,282 ",38.70%,"2,584",31-Jan,20-Mar,Paramount Pictures
125,Whiplash,"$13,092,000 ",567,"$135,388 ",1%,6,10-Oct,12-Apr,Sony Pictures Classics
126,Winter's Tale,"$12,600,231 ","2,965","$7,297,694 ",57.90%,"2,965",14-Feb,3-Apr,Warner Bros.
127,Foxcatcher,"$12,096,300 ",759,"$270,877 ",2.20%,6,14-Nov,8-Mar,Sony Pictures Classics
128,Island of Lemurs: Madagascar,"$11,272,213 ",302,"$188,307 ",1.70%,37,4-Apr,-,Warner Bros.
129,Belle,"$10,726,630 ",525,"$106,578 ",1%,4,2-May,28-Aug,-
130,The Drop,"$10,724,389 ","1,192","$4,104,552 ",38.30%,809,12-Sep,13-Nov,-
131,PK,"$10,616,104 ",272,"$3,565,258 ",33.60%,272,19-Dec,12-Feb,UTV Motion Pictures
132,Magic in the Moonlight,"$10,539,326 ",964,"$412,095 ",3.90%,17,25-Jul,20-Nov,Sony Pictures Classics
133,Sabotage,"$10,508,518 ","2,486","$5,272,444 ",50.20%,"2,486",28-Mar,15-May,Open Road Films (II)
134,Moms' Night Out,"$10,429,707 ","1,046","$4,311,083 ",41.30%,"1,044",9-May,13-Jul,TriStar Pictures
135,The Quiet Ones,"$8,509,867 ","2,027","$3,880,053 ",45.60%,"2,027",25-Apr,5-Jun,Lionsgate
136,Legends of Oz: Dorothy's Return,"$8,462,347 ","2,658","$3,747,780 ",44.30%,"2,658",9-May,31-Jul,Clarius Entertainment
137,Inherent Vice,"$8,110,975 ",653,"$328,184 ",4%,5,12-Dec,26-Feb,Warner Bros.
138,Vampire Academy,"$7,791,979 ","2,676","$3,921,742 ",50.30%,"2,676",7-Feb,10-Apr,The Weinstein Company
139,Bad Words,"$7,779,614 ","1,074","$113,301 ",1.50%,6,14-Mar,29-May,Focus Features
140,Cantinflas,"$6,382,924 ",429,"$2,661,253 ",41.70%,382,29-Aug,16-Oct,Lionsgate
141,The Interview,"$6,105,175 ",581,"$1,794,666 ",29.40%,331,25-Dec,25-Jan,Sony Pictures Releasing
142,Meet the Mormons,"$6,047,363 ",333,"$2,509,808 ",41.50%,317,10-Oct,12-Feb,Purdie Distribution
143,A Most Violent Year,"$5,749,134 ",818,"$172,788 ",3%,4,31-Dec,26-Apr,A24
144,Cesar Chavez,"$5,571,497 ",664,"$2,861,528 ",51.40%,664,28-Mar,8-May,Lionsgate
,2014 Re-release,,,,,,,,
145,The Skeleton Twins,"$5,284,309 ",461,"$380,691 ",7.20%,15,12-Sep,25-Dec,Roadside Attractions
146,The Wind Rises,"$5,209,580 ",496,"$313,751 ",6%,21,21-Feb,22-May,Walt Disney Studios Motion Pictures
147,Snowpiercer,"$4,563,650 ",356,"$171,187 ",3.80%,8,27-Jun,23-Oct,RADiUS-TWC
148,The Railway Man,"$4,438,438 ",600,"$61,845 ",1.40%,4,11-Apr,17-Jul,The Weinstein Company
149,Dear White People,"$4,404,154 ",393,"$347,959 ",7.90%,11,17-Oct,25-Jan,Roadside Attractions
150,The Lunchbox,"$4,235,151 ",165,"$44,542 ",1.10%,3,28-Feb,18-Sep,Sony Pictures Classics
,2013 Re-release,,,,,,,,
151,My Old Lady,"$4,013,786 ",273,"$124,680 ",3.10%,11,10-Sep,15-Jan,Cohen Media Group
152,Mr. Turner,"$3,958,500 ",120,"$109,000 ",2.80%,5,19-Dec,12-Apr,Sony Pictures Classics
153,Ida,"$3,827,060 ",137,"$55,438 ",1.40%,3,2-May,7-May,Music Box Films
154,Fading Gigolo,"$3,769,873 ",356,"$180,801 ",4.80%,5,18-Apr,17-Jul,Millennium Entertainment
155,Calvary,"$3,600,006 ",322,"$74,149 ",2.10%,4,1-Aug,16-Oct,-
156,Wish I Was Here,"$3,591,299 ",753,"$484,401 ",13.50%,68,18-Jul,11-Sep,Focus Features
157,Ghostbusters,"$3,580,343 ",784,"$1,756,513 ",49.10%,784,29-Aug,18-Sep,Sony Pictures Releasing
,30th Anniversary Release,,,,,,,,
158,Mommy,"$3,494,070 ",83,"$473,882 ",13.60%,62,19-Sep,19-Mar,Roadside Attractions
159,What If,"$3,493,000 ",787,"$133,898 ",3.80%,20,8-Aug,18-Sep,CBS Films
160,The Grand Seduction,"$3,430,018 ",124,"$41,433 ",1.20%,8,23-May,11-Sep,Entertainment One
161,Veronica Mars,"$3,322,127 ",347,"$1,988,351 ",59.90%,291,14-Mar,24-Apr,Warner Bros.
162,Before I Go to Sleep,"$3,242,457 ","1,902","$1,843,347 ",56.90%,"1,902",31-Oct,20-Nov,Clarius Entertainment
163,Rosewater,"$3,128,941 ",371,"$1,154,303 ",36.90%,371,14-Nov,1-Jan,Open Road Films (II)
164,Obvious Child,"$3,123,963 ",202,"$77,315 ",2.50%,3,6-Jun,9-Oct,A24
165,The Trip to Italy,"$2,880,537 ",199,"$71,712 ",2.50%,3,15-Aug,9-Nov,IFC Films
166,The Identical,"$2,827,666 ","1,956","$1,587,137 ",56.10%,"1,956",5-Sep,25-Sep,Freestyle Releasing
167,The Fluffy Movie: Unity Through Laughter,"$2,827,393 ",432,"$1,311,446 ",46.40%,432,25-Jul,28-Aug,Open Road Films (II)
168,Citizenfour,"$2,800,870 ",105,"$126,321 ",4.50%,5,24-Oct,30-Apr,RADiUS-TWC
169,Kirk Cameron's Saving Christmas,"$2,783,970 ",410,"$992,087 ",35.60%,410,14-Nov,25-Dec,The Samuel Goldwyn Company
170,The Pyramid,"$2,756,333 ",685,"$1,369,935 ",49.70%,589,5-Dec,29-Jan,Twentieth Century Fox
171,The Good Lie,"$2,722,209 ",461,"$841,422 ",30.90%,461,3-Oct,8-Jan,Warner Bros.
172,The Raid 2,"$2,627,209 ",954,"$165,292 ",6.30%,7,28-Mar,19-Jun,Sony Pictures Classics
173,Under the Skin,"$2,614,251 ",176,"$133,154 ",5.10%,4,4-Apr,14-Aug,A24
174,The Admiral: Roaring Currents,"$2,589,811 ",45,"$51,431 ",2%,1,8-Aug,6-Nov,CJ Entertainment
175,Dragon Ball Z: Battle of Gods,"$2,553,002 ",692,"$296,414 ",11.60%,62,5-Aug,14-Aug,Screenvision
176,Bang Bang,"$2,546,172 ",271,"$1,278,690 ",50.20%,271,2-Oct,19-Oct,FIP
177,Kick,"$2,472,695 ",180,"$1,071,373 ",43.30%,180,25-Jul,21-Aug,UTV Motion Pictures
178,Kill the Messenger,"$2,450,846 ",427,"$941,809 ",38.40%,374,10-Oct,11-Dec,Focus Features
179,The Homesman,"$2,429,989 ",222,"$45,433 ",1.90%,4,14-Nov,26-Feb,Saban Films
180,Ode to My Father,"$2,300,121 ",38,"$33,880 ",1.50%,1,25-Dec,12-Apr,CJ Entertainment
181,Love Is Strange,"$2,262,223 ",138,"$117,276 ",5.20%,5,22-Aug,20-Nov,Sony Pictures Classics
,2014 Re-release,,,,,,,,
182,2 States,"$2,238,174 ",137,"$1,073,898 ",48%,135,18-Apr,29-May,UTV Motion Pictures
183,Le Week-End,"$2,225,098 ",157,"$43,608 ",2%,3,14-Mar,3-Jul,Music Box Films
184,Anchorman 2: The Legend Continues,"$2,184,339 ","1,317","$1,358,833 ",62.20%,"1,317",28-Feb,20-Mar,Paramount Pictures
,R-Rated Extended Cut,,,,,,,,
185,The Oscar Nominated Short Films 2014: Live Action,"$2,171,849 ",167,"$329,505 ",15.20%,105,31-Jan,2-Mar,Shorts International
186,Words and Pictures,"$2,171,257 ",216,"$87,879 ",4%,10,23-May,21-Aug,Roadside Attractions
187,Gloria,"$2,107,925 ",110,"$56,454 ",2.70%,3,24-Jan,15-May,Roadside Attractions
188,The Immigrant,"$2,025,328 ",150,"$44,064 ",2.20%,3,16-May,3-Jul,The Weinstein Company
189,Only Lovers Left Alive,"$1,879,534 ",95,"$87,989 ",4.70%,4,11-Apr,18-Sep,Sony Pictures Classics
190,Tusk,"$1,826,705 ",602,"$846,831 ",46.40%,602,19-Sep,13-Nov,A24
191,Tim's Vermeer,"$1,671,377 ",129,"$49,777 ",3%,4,31-Jan,29-May,Sony Pictures Classics
192,Persecuted,"$1,558,836 ",736,"$851,391 ",54.60%,736,18-Jul,14-Aug,Millennium Entertainment
193,Awake: The Life of Yogananda,"$1,539,680 ",21,"$18,885 ",1.20%,1,10-Oct,10-Sep,-
194,Fed Up,"$1,538,899 ",104,"$126,028 ",8.20%,18,9-May,28-Aug,RADiUS-TWC
195,Finding Vivian Maier,"$1,514,782 ",97,"$63,600 ",4.20%,3,28-Mar,10-Aug,IFC Films
196,Pride,"$1,446,634 ",124,"$100,040 ",6.90%,10,26-Sep,20-Nov,CBS Films
197,"Two Days, One Night","$1,436,243 ",120,"$30,700 ",2.10%,2,24-Dec,7-May,IFC Films
198,Locke,"$1,375,769 ",121,"$81,006 ",5.90%,4,25-Apr,14-Aug,A24
199,Gimme Shelter,"$1,359,910 ",385,"$689,070 ",50.70%,385,24-Jan,27-Feb,Roadside Attractions
200,Force Majeure,"$1,359,497 ",68,"$23,309 ",1.70%,2,24-Oct,5-Mar,Magnolia Pictures
