Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,American Sniper,"$350,126,372 ","3,885","$633,456 ",0.20%,4,25-Dec,25-Jun,Warner Bros.
2,The Hunger Games: Mockingjay - Part 1,"$337,135,885 ","4,151","$121,897,634 ",36.20%,"4,151",21-Nov,19-Mar,Lionsgate
3,Guardians of the Galaxy,"$333,176,600 ","4,088","$94,320,883 ",28.30%,"4,080",1-Aug,22-Jan,Walt Disney Studios Motion Pictures
4,Captain America: The Winter Soldier,"$259,766,572 ","3,938","$95,023,721 ",36.60%,"3,938",4-Apr,21-Aug,Walt Disney Studios Motion Pictures
5,The Lego Movie,"$257,760,692 ","3,890","$69,050,279 ",26.80%,"3,775",7-Feb,4-Sep,Warner Bros.
6,The Hobbit: The Battle of the Five Armies,"$255,119,788 ","3,875","$54,724,334 ",21.50%,"3,875",17-Dec,2-Apr,Warner Bros.
7,Transformers: Age of Extinction,"$245,439,076 ","4,233","$100,038,390 ",40.80%,"4,233",27-Jun,9-Oct,Paramount Pictures
8,Maleficent,"$241,410,378 ","3,948","$69,431,298 ",28.80%,"3,948",30-May,4-Dec,Walt Disney Studios Motion Pictures
9,X-Men: Days of Future Past,"$233,921,534 ","4,001","$90,823,660 ",38.80%,"3,996",23-May,9-Oct,Twentieth Century Fox
10,Big Hero 6,"$222,527,828 ","3,773","$56,215,889 ",25.30%,"3,761",7-Nov,28-May,Walt Disney Studios Motion Pictures
11,Dawn of the Planet of the Apes,"$208,545,589 ","3,969","$72,611,427 ",34.80%,"3,967",11-Jul,4-Dec,Twentieth Century Fox
12,The Amazing Spider-Man 2,"$202,853,933 ","4,324","$91,608,337 ",45.20%,"4,324",2-May,17-Aug,Sony Pictures Releasing
13,Godzilla,"$200,676,069 ","3,952","$93,188,384 ",46.40%,"3,952",16-May,28-Aug,Warner Bros.
14,22 Jump Street,"$191,719,337 ","3,426","$57,071,445 ",29.80%,"3,306",13-Jun,26-Nov,Sony Pictures Releasing
15,Teenage Mutant Ninja Turtles,"$191,204,754 ","3,980","$65,575,105 ",34.30%,"3,845",8-Aug,20-Nov,Paramount Pictures
16,Interstellar,"$188,020,017 ","3,561","$47,510,360 ",25.30%,"3,561",5-Nov,19-Mar,Paramount Pictures
17,How to Train Your Dragon 2,"$177,002,924 ","4,268","$49,451,322 ",27.90%,"4,253",13-Jun,11-Dec,Twentieth Century Fox
18,Gone Girl,"$167,767,189 ","3,284","$37,513,109 ",22.40%,"3,014",3-Oct,26-Feb,Twentieth Century Fox
19,Divergent,"$150,947,895 ","3,936","$54,607,747 ",36.20%,"3,936",21-Mar,10-Jul,Lionsgate
20,Neighbors,"$150,157,400 ","3,311","$49,033,915 ",32.70%,"3,279",9-May,21-Aug,Universal Pictures
21,Ride Along,"$134,938,200 ","2,867","$41,516,170 ",30.80%,"2,663",17-Jan,17-Apr,Universal Pictures
22,Rio 2,"$131,538,435 ","3,975","$39,327,869 ",29.90%,"3,948",11-Apr,4-Sep,Twentieth Century Fox
23,Into the Woods,"$128,002,372 ","2,833","$31,051,923 ",24.30%,"2,440",25-Dec,16-Apr,Walt Disney Studios Motion Pictures
24,Lucy,"$126,663,600 ","3,202","$43,899,340 ",34.70%,"3,173",25-Jul,6-Nov,Universal Pictures
25,The Fault in Our Stars,"$124,872,350 ","3,340","$48,002,523 ",38.40%,"3,173",6-Jun,9-Oct,Twentieth Century Fox
26,Unbroken,"$115,637,895 ","3,301","$30,621,445 ",26.50%,"3,131",25-Dec,12-Mar,Universal Pictures
27,Night at the Museum: Secret of the Tomb,"$113,746,621 ","3,914","$17,100,520 ",15%,"3,785",19-Dec,9-Jul,Twentieth Century Fox
28,Mr. Peabody & Sherman,"$111,506,430 ","3,951","$32,207,057 ",28.90%,"3,934",7-Mar,4-Sep,Twentieth Century Fox
