Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219 ","4,375","$169,189,427 ",44.40%,"4,375",15-Jul,24-Nov,Warner Bros.
2,Transformers: Dark of the Moon,"$352,390,543 ","4,088","$97,852,865 ",27.80%,"4,088",29-Jun,13-Oct,DreamWorks
3,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ","4,066","$138,122,261 ",49.10%,"4,061",18-Nov,23-Feb,Summit Entertainment
4,The Hangover Part II,"$254,464,305 ","3,675","$85,946,294 ",33.80%,"3,615",26-May,15-Sep,Warner Bros.
5,Pirates of the Caribbean: On Stranger Tides,"$241,071,802 ","4,164","$90,151,958 ",37.40%,"4,155",20-May,29-Sep,Walt Disney Studios Motion Pictures
6,Fast Five,"$209,837,675 ","3,793","$86,198,765 ",41.10%,"3,644",29-Apr,11-Aug,Universal Pictures
7,Mission: Impossible - Ghost Protocol,"$209,397,903 ","3,555","$12,785,204 ",6.10%,425,16-Dec,12-Apr,Paramount Pictures
8,Cars 2,"$191,452,396 ","4,115","$66,135,507 ",34.50%,"4,115",24-Jun,15-Dec,Walt Disney Studios Motion Pictures
9,Sherlock Holmes: A Game of Shadows,"$186,848,418 ","3,703","$39,637,079 ",21.20%,"3,703",16-Dec,5-Apr,Warner Bros.
10,Thor,"$181,030,624 ","3,963","$65,723,338 ",36.30%,"3,955",6-May,25-Aug,Paramount Pictures
11,Rise of the Planet of the Apes,"$176,760,185 ","3,691","$54,806,191 ",31%,"3,648",5-Aug,15-Dec,Twentieth Century Fox
12,Captain America: The First Avenger,"$176,654,505 ","3,715","$65,058,524 ",36.80%,"3,715",22-Jul,10-Nov,Paramount Pictures
13,The Help,"$169,708,112 ","3,014","$26,044,590 ",15.30%,"2,534",10-Aug,8-Mar,Walt Disney Studios Motion Pictures
14,Bridesmaids,"$169,106,725 ","2,958","$26,247,410 ",15.50%,"2,918",13-May,29-Sep,Universal Pictures
15,Kung Fu Panda 2,"$165,249,063 ","3,952","$47,656,302 ",28.80%,"3,925",26-May,29-Sep,DreamWorks
16,Puss in Boots,"$149,260,504 ","3,963","$34,077,439 ",22.80%,"3,952",28-Oct,1-Mar,DreamWorks
17,X-Men: First Class,"$146,408,305 ","3,692","$55,101,604 ",37.60%,"3,641",3-Jun,29-Sep,Twentieth Century Fox
18,Rio,"$143,619,809 ","3,842","$39,225,962 ",27.30%,"3,826",15-Apr,8-Sep,Twentieth Century Fox
19,The Smurfs,"$142,614,158 ","3,427","$35,611,637 ",25%,"3,395",29-Jul,15-Dec,Sony Pictures Releasing
20,Alvin and the Chipmunks: Chipwrecked,"$133,110,742 ","3,734","$23,244,744 ",17.50%,"3,723",16-Dec,7-Jun,Twentieth Century Fox
21,Super 8,"$127,004,179 ","3,424","$35,451,168 ",27.90%,"3,379",10-Jun,29-Sep,Paramount Pictures
22,Rango,"$123,477,607 ","3,923","$38,079,323 ",30.80%,"3,917",4-Mar,7-Jul,Paramount Pictures
23,Horrible Bosses,"$117,538,559 ","3,134","$28,302,165 ",24.10%,"3,040",8-Jul,27-Oct,Warner Bros.
24,Green Lantern,"$116,601,172 ","3,816","$53,174,303 ",45.60%,"3,816",17-Jun,29-Sep,Warner Bros.
25,Hop,"$108,085,305 ","3,616","$37,543,710 ",34.70%,"3,579",1-Apr,16-Jun,Universal Pictures
26,Paranormal Activity 3,"$104,028,807 ","3,329","$52,568,183 ",50.50%,"3,321",21-Oct,5-Jan,Paramount Pictures
27,Just Go with It,"$103,028,109 ","3,548","$30,514,732 ",29.60%,"3,548",11-Feb,19-May,Sony Pictures Releasing
28,The Girl with the Dragon Tattoo,"$102,515,793 ","2,950","$12,768,604 ",12.50%,"2,914",21-Dec,22-Mar,Sony Pictures Releasing
29,Bad Teacher,"$100,292,856 ","3,049","$31,603,106 ",31.50%,"3,049",24-Jun,13-Oct,Sony Pictures Releasing
30,Cowboys & Aliens,"$100,240,551 ","3,754","$36,431,290 ",36.30%,"3,750",29-Jul,3-Nov,Universal Pictures
