Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
65,Ghost Rider: Spirit of Vengeance,"$51,774,002 ","3,174","$22,115,334 ",42.70%,"3,174",17-Feb,10-May,Sony Pictures Releasing
66,The Grey,"$51,580,236 ","3,208","$19,665,101 ",38.10%,"3,185",27-Jan,19-Apr,Open Road Films (II)
67,Red Tails,"$49,876,377 ","2,573","$18,782,154 ",37.70%,"2,512",20-Jan,7-Jun,Twentieth Century Fox
68,The Possession,"$49,130,154 ","2,860","$17,732,480 ",36.10%,"2,816",31-Aug,22-Nov,Lionsgate
69,Diary of a Wimpy Kid: Dog Days,"$49,008,662 ","3,401","$14,623,599 ",29.80%,"3,391",3-Aug,20-Dec,Twentieth Century Fox
70,Sinister,"$48,086,903 ","2,542","$18,007,634 ",37.40%,"2,527",12-Oct,3-Jan,Lionsgate
71,Beauty and the Beast,"$47,617,067 ","2,625","$17,751,905 ",37.30%,"2,625",13-Jan,3-May,Walt Disney Studios Motion Pictures
,2012 3D Release,,,,,,,,
72,Savages,"$47,382,068 ","2,635","$16,016,910 ",33.80%,"2,628",6-Jul,6-Sep,Universal Pictures
73,The Best Exotic Marigold Hotel,"$46,412,041 ","1,298","$737,051 ",1.60%,27,4-May,25-Oct,-
74,Moonrise Kingdom,"$45,512,466 ",924,"$522,996 ",1.10%,4,25-May,1-Nov,Focus Features
75,Here Comes the Boom,"$45,290,318 ","3,014","$11,816,596 ",26.10%,"3,014",12-Oct,18-Feb,Sony Pictures Releasing
76,Red Dawn,"$44,806,783 ","2,781","$14,276,668 ",31.90%,"2,724",21-Nov,21-Feb,FilmDistrict
77,The Three Stooges,"$44,338,224 ","3,482","$17,010,125 ",38.40%,"3,477",13-Apr,16-Aug,Twentieth Century Fox
78,Star Wars: Episode I - The Phantom Menace,"$43,458,335 ","2,655","$22,469,932 ",51.70%,"2,655",10-Feb,28-May,Twentieth Century Fox
,2012 3D Release,,,,,,,,
79,Resident Evil: Retribution,"$42,345,531 ","3,016","$21,052,227 ",49.70%,"3,012",14-Sep,11-Nov,Screen Gems
80,The Cabin in the Woods,"$42,073,277 ","2,811","$14,743,614 ",35%,"2,811",13-Apr,12-Jul,Lionsgate
81,What to Expect When You're Expecting,"$41,152,203 ","3,021","$10,547,068 ",25.60%,"3,021",18-May,2-Aug,Lionsgate
82,Finding Nemo,"$41,128,283 ","2,904","$16,687,773 ",40.60%,"2,904",14-Sep,17-Jan,Walt Disney Studios Motion Pictures
,2012 3D Release,,,,,,,,
83,End of Watch,"$41,003,371 ","2,780","$13,152,683 ",32.10%,"2,730",21-Sep,17-Jan,Open Road Films (II)
84,Rock of Ages,"$38,518,613 ","3,470","$14,437,269 ",37.50%,"3,470",15-Jun,16-Aug,Warner Bros.
85,Abraham Lincoln: Vampire Hunter,"$37,519,139 ","3,109","$16,306,974 ",43.50%,"3,108",22-Jun,20-Sep,Twentieth Century Fox
86,Lawless,"$37,400,127 ","3,138","$10,001,982 ",26.70%,"2,888",29-Aug,29-Nov,The Weinstein Company
87,The Guilt Trip,"$37,134,215 ","2,431","$5,290,629 ",14.20%,"2,431",19-Dec,7-Mar,Paramount Pictures
88,That's My Boy,"$36,931,089 ","3,030","$13,453,714 ",36.40%,"3,030",15-Jun,22-Jul,Sony Pictures Releasing
89,Trouble with the Curve,"$35,763,137 ","3,212","$12,162,040 ",34%,"3,212",21-Sep,13-Dec,Warner Bros.
90,The Watch,"$35,353,000 ","3,168","$12,750,297 ",36.10%,"3,168",27-Jul,18-Oct,Twentieth Century Fox
91,Frankenweenie,"$35,291,068 ","3,005","$11,412,213 ",32.30%,"3,005",5-Oct,28-Feb,Walt Disney Studios Motion Pictures
92,Step Up Revolution,"$35,074,677 ","2,606","$11,731,708 ",33.40%,"2,567",27-Jul,4-Oct,Lionsgate
93,Good Deeds,"$35,025,791 ","2,132","$15,583,924 ",44.50%,"2,132",24-Feb,17-May,Lionsgate
94,"Monsters, Inc.","$34,043,006 ","2,618","$4,774,686 ",14%,"2,618",19-Dec,2-May,Walt Disney Studios Motion Pictures
,2012 3D Release,,,,,,,,
95,2016: Obama's America,"$33,449,086 ","2,017","$31,610 ",<0.1%,1,13-Jul,11-Oct,Rocky Mountain Pictures
96,House at the End of the Street,"$31,611,916 ","3,083","$12,287,234 ",38.90%,"3,083",21-Sep,20-Dec,Relativity Media
97,The Pirates! Band of Misfits,"$31,051,126 ","3,358","$11,137,734 ",35.90%,"3,358",27-Apr,5-Aug,Sony Pictures Releasing
98,Joyful Noise,"$30,932,113 ","2,735","$11,225,190 ",36.30%,"2,735",13-Jan,22-Mar,Warner Bros.
99,Chimpanzee,"$28,972,764 ","1,567","$10,673,748 ",36.80%,"1,563",20-Apr,9-Aug,Walt Disney Studios Motion Pictures
100,The Five-Year Engagement,"$28,835,528 ","2,941","$10,610,060 ",36.80%,"2,936",27-Apr,21-Jun,Universal Pictures
101,Cloud Atlas,"$27,108,272 ","2,023","$9,612,247 ",35.50%,"2,008",26-Oct,24-Jan,Warner Bros.
102,One for the Money,"$26,414,527 ","2,737","$11,515,790 ",43.60%,"2,737",27-Jan,12-Apr,Lionsgate
103,Alex Cross,"$25,888,412 ","2,541","$11,396,768 ",44%,"2,539",19-Oct,3-Jan,Lionsgate
104,Katy Perry: Part of Me,"$25,326,071 ","2,732","$7,138,266 ",28.20%,"2,730",5-Jul,30-Aug,Paramount Pictures
105,Sparkle,"$24,397,469 ","2,244","$11,643,342 ",47.70%,"2,244",17-Aug,30-Sep,TriStar Pictures
106,Premium Rush,"$20,275,446 ","2,255","$6,030,164 ",29.70%,"2,255",24-Aug,21-Oct,Sony Pictures Releasing
107,Big Miracle,"$20,157,300 ","2,133","$7,760,205 ",38.50%,"2,129",3-Feb,5-Apr,Universal Pictures
108,The Secret World of Arrietty,"$19,202,743 ","1,522","$6,446,395 ",33.60%,"1,522",17-Feb,7-Jun,Walt Disney Studios Motion Pictures
109,The Impossible,"$19,019,882 ",886,"$143,818 ",0.80%,15,21-Dec,18-Apr,Lionsgate
110,Haywire,"$18,942,396 ","2,441","$8,425,370 ",44.50%,"2,439",20-Jan,22-Mar,Relativity Media
111,Man on a Ledge,"$18,620,000 ","2,998","$8,001,932 ",43%,"2,998",27-Jan,1-Mar,Lionsgate
112,A Thousand Words,"$18,450,127 ","1,895","$6,176,280 ",33.50%,"1,890",9-Mar,31-May,DreamWorks
113,Chernobyl Diaries,"$18,119,640 ","2,433","$7,955,307 ",43.90%,"2,433",25-May,19-Jul,Warner Bros.
114,The Perks of Being a Wallflower,"$17,742,948 ",745,"$228,359 ",1.30%,4,21-Sep,7-Feb,Lionsgate
115,Silent Hill: Revelation,"$17,529,157 ","2,933","$8,023,036 ",45.80%,"2,933",26-Oct,16-Dec,Open Road Films (II)
116,Wanderlust,"$17,450,535 ","2,002","$6,526,650 ",37.40%,"2,002",24-Feb,5-Apr,Universal Pictures
117,Safe,"$17,142,080 ","2,271","$7,892,539 ",46%,"2,266",27-Apr,21-Jun,Lionsgate
118,To Rome with Love,"$16,685,867 ",806,"$361,359 ",2.20%,5,22-Jun,15-Nov,Sony Pictures Classics
119,The Master,"$16,377,274 ",864,"$736,311 ",4.50%,5,14-Sep,14-Mar,The Weinstein Company
120,The Raven,"$16,008,272 ","2,209","$7,289,642 ",45.50%,"2,203",27-Apr,12-Jul,Relativity Media
121,The Man with the Iron Fists,"$15,634,090 ","1,872","$7,910,980 ",50.60%,"1,868",2-Nov,20-Dec,Universal Pictures
122,Killing Them Softly,"$15,026,056 ","2,424","$6,812,900 ",45.30%,"2,424",30-Nov,21-Feb,The Weinstein Company
123,Seven Psychopaths,"$15,024,049 ","1,480","$4,174,915 ",27.80%,"1,480",12-Oct,20-Dec,CBS Films
124,To the Arctic 3D,"$14,560,838 ",52,"$270,228 ",1.90%,50,20-Apr,-,Warner Bros.
125,Lockout,"$14,326,864 ","2,335","$6,231,836 ",43.50%,"2,308",13-Apr,24-May,FilmDistrict
126,Hit and Run,"$13,749,300 ","2,870","$4,526,222 ",32.90%,"2,870",22-Aug,11-Oct,Open Road Films (II)
127,Dredd,"$13,414,714 ","2,557","$6,278,491 ",46.80%,"2,506",21-Sep,1-Nov,Lionsgate
128,Playing for Keeps,"$13,103,272 ","2,840","$5,750,288 ",43.90%,"2,837",7-Dec,21-Feb,FilmDistrict
129,Anna Karenina,"$12,816,367 ",422,"$320,690 ",2.50%,16,16-Nov,28-Feb,Focus Features
130,Beasts of the Southern Wild,"$12,795,746 ",318,"$169,702 ",1.30%,4,27-Jun,21-Mar,-
131,Silent House,"$12,754,783 ","2,124","$6,661,234 ",52.20%,"2,124",9-Mar,3-May,Open Road Films (II)
132,Cirque du Soleil: Worlds Away,"$12,512,862 ",840,"$2,162,993 ",17.30%,840,21-Dec,14-Feb,Paramount Pictures
133,People Like Us,"$12,434,778 ","2,055","$4,255,423 ",34.20%,"2,055",29-Jun,30-Aug,Walt Disney Studios Motion Pictures
134,Gone,"$11,682,205 ","2,186","$4,770,360 ",40.80%,"2,186",24-Feb,12-Apr,Lionsgate
135,The Words,"$11,494,838 ","2,801","$4,750,894 ",41.30%,"2,801",7-Sep,4-Oct,CBS Films
136,The Intouchables,"$10,198,820 ",194,"$103,507 ",1%,4,25-May,17-Jan,The Weinstein Company
137,Fun Size,"$9,409,538 ","3,016","$4,101,017 ",43.60%,"3,014",26-Oct,13-Dec,Paramount Pictures
138,Bernie,"$9,206,470 ",332,"$85,805 ",0.90%,3,27-Apr,20-Sep,Millennium Entertainment
139,Salmon Fishing in the Yemen,"$9,047,981 ",524,"$225,894 ",2.50%,18,9-Mar,7-Jun,CBS Films
140,Arbitrage,"$7,919,574 ",256,"$2,002,165 ",25.30%,197,14-Sep,17-Jan,Roadside Attractions
141,Promised Land,"$7,597,898 ","1,676","$173,915 ",2.30%,25,28-Dec,24-Jan,Focus Features
142,Friends with Kids,"$7,251,073 ",640,"$2,019,083 ",27.80%,369,9-Mar,14-Jun,Roadside Attractions
143,Seeking a Friend for the End of the World,"$7,078,738 ","1,625","$3,822,803 ",54%,"1,625",22-Jun,5-Jul,Focus Features
144,The Collection,"$6,842,058 ","1,403","$3,104,269 ",45.40%,"1,403",30-Nov,30-Dec,LD Entertainment
145,Amour,"$6,739,492 ",333,"$68,266 ",1%,3,19-Dec,16-May,Sony Pictures Classics
146,Hyde Park on Hudson,"$6,376,145 ",246,"$81,362 ",1.30%,4,7-Dec,28-Mar,Focus Features
147,Hitchcock,"$6,008,677 ",561,"$287,715 ",4.80%,17,23-Nov,14-Mar,-
148,Chasing Mavericks,"$6,002,756 ","2,030","$2,268,274 ",37.80%,"2,002",26-Oct,13-Jan,Twentieth Century Fox
149,The Sessions,"$6,002,451 ",516,"$113,467 ",1.90%,4,19-Oct,14-Mar,-
150,Casa de mi Padre,"$5,909,483 ",475,"$2,287,239 ",38.70%,382,16-Mar,17-May,Lionsgate
151,Outlaws,"$5,672,846 ",757,"$1,885,608 ",33.20%,757,1-Jun,16-Aug,Arc Entertainment
152,Won't Back Down,"$5,310,554 ","2,517","$2,603,370 ",49%,"2,515",28-Sep,22-Nov,Twentieth Century Fox
153,October Baby,"$5,157,886 ",390,"$1,718,000 ",-,390,23-Mar,14-Jun,The Samuel Goldwyn Company
,2012 Re-release,,,,,,,,
154,The Apparition,"$4,936,819 ",810,"$2,841,488 ",57.60%,810,24-Aug,11-Oct,Warner Bros.
155,"Jeff, Who Lives at Home","$4,269,426 ",513,"$855,709 ",20%,254,16-Mar,17-May,Paramount Vantage
156,Goon,"$4,168,528 ",242,"$1,232,860 ",29.60%,241,24-Feb,31-May,Magnolia Pictures
157,The Raid: Redemption,"$4,105,187 ",881,"$213,785 ",5.20%,14,23-Mar,12-Jul,Sony Pictures Classics
158,Safety Not Guaranteed,"$4,010,957 ",182,"$97,762 ",2.40%,9,8-Jun,18-Oct,FilmDistrict
159,Bully,"$3,863,446 ",263,"$535,433 ",13.90%,158,13-Apr,21-Jun,The Weinstein Company
,2012 Re-release,,,,,,,,
160,The Cold Light of Day,"$3,763,583 ","1,511","$1,831,588 ",48.70%,"1,511",7-Sep,4-Oct,Lionsgate
161,Searching for Sugar Man,"$3,696,196 ",157,"$27,459 ",0.70%,3,27-Jul,22-Aug,Sony Pictures Classics
162,Nitro Circus: The Movie,"$3,377,618 ",800,"$1,183,701 ",35%,800,8-Aug,11-Oct,Arc Entertainment
163,Atlas Shrugged II: The Strike,"$3,336,053 ","1,012","$1,751,572 ",52.50%,"1,012",12-Oct,29-Nov,Atlas Distribution Company
164,Last Ounce of Courage,"$3,329,674 ","1,407","$1,708,000 ",-,"1,407",14-Sep,11-Oct,Rocky Mountain Pictures
165,Robot & Frank,"$3,325,038 ",209,"$35,539 ",1.10%,2,17-Aug,21-Jan,The Samuel Goldwyn Company
166,Raiders of the Lost Ark,"$3,125,613 ",322,"$1,673,731 ",53.50%,267,7-Sep,4-Oct,Paramount Pictures
,2012 IMAX Release,,,,,,,,
167,Celeste & Jesse Forever,"$3,094,813 ",586,"$107,785 ",3.50%,4,3-Aug,13-Dec,Sony Pictures Classics
168,Jab Tak Hai Jaan,"$3,047,539 ",164,"$1,283,585 ",42.10%,161,13-Nov,25-Nov,Yash Raj Films
169,Albert Nobbs,"$3,014,696 ",245,"$696,088 ",23.10%,245,27-Jan,17-May,Roadside Attractions
170,Talaash: The Answer Lies Within,"$2,871,956 ",172,"$1,638,706 ",57.10%,172,30-Nov,10-Jan,Reliance Big Pictures
171,Barfi!,"$2,804,874 ",132,"$1,061,713 ",37.90%,132,14-Sep,28-Oct,UTV Motion Pictures
172,Samsara,"$2,672,413 ",70,"$76,222 ",2.90%,2,24-Aug,25-Apr,Oscilloscope
173,Girl in Progress,"$2,609,412 ",322,"$1,384,078 ",53%,322,11-May,21-Jun,Lionsgate
174,Jiro Dreams of Sushi,"$2,552,478 ",80,"$42,035 ",1.60%,2,9-Mar,23-Aug,Magnolia Pictures
175,Ruby Sparks,"$2,540,106 ",261,"$140,822 ",5.50%,13,25-Jul,25-Oct,-
176,Dabangg 2,"$2,519,190 ",166,"$1,019,213 ",40.50%,166,21-Dec,24-Jan,Eros Worldwide
177,The Queen of Versailles,"$2,401,999 ",89,"$51,326 ",2.10%,3,20-Jul,22-Nov,Magnolia Pictures
178,Ek Tha Tiger,"$2,347,774 ",120,"$1,139,340 ",48.50%,120,15-Aug,26-Aug,Yash Raj Films
179,Sleepwalk with Me,"$2,266,067 ",135,"$68,801 ",3%,1,24-Aug,22-Nov,IFC Films
180,Rust and Bone,"$2,062,027 ",168,"$27,154 ",1.30%,2,23-Nov,4-Apr,Sony Pictures Classics
181,Monsieur Lazhar,"$2,009,517 ",86,"$112,190 ",5.60%,19,13-Apr,11-Oct,Music Box Films
182,Footnote,"$2,007,758 ",101,"$47,528 ",2.40%,2,9-Mar,12-Jul,Sony Pictures Classics
183,Killer Joe,"$1,987,762 ",75,"$37,900 ",1.90%,3,27-Jul,14-Oct,LD Entertainment
184,Agneepath,"$1,986,748 ",132,"$1,140,464 ",57.40%,132,26-Jan,23-Feb,Eros Worldwide
185,English Vinglish,"$1,862,086 ",88,"$745,414 ",40%,88,5-Oct,25-Nov,Eros Worldwide
186,Crooked Arrows,"$1,832,541 ",327,"$257,364 ",14%,55,18-May,19-Jul,-
187,Hysteria,"$1,804,139 ",218,"$35,656 ",2%,5,18-May,27-Sep,Sony Pictures Classics
188,Housefull 2,"$1,791,780 ",121,"$847,132 ",47.30%,121,6-Apr,17-May,Eros Worldwide
189,The Oscar Nominated Short Films 2012: Live Action,"$1,702,415 ",146,"$412,304 ",24.20%,120,10-Feb,29-Mar,Shorts International
190,Your Sister's Sister,"$1,636,190 ",101,"$109,221 ",6.70%,13,15-Jun,26-Aug,IFC Films
191,Singin' in the Rain,"$1,608,925 ",561,-,-,-,12-Jul,26-Aug,Warner Bros.
,2012 Re-release,,,,,,,,
192,"Farewell, My Queen","$1,597,998 ",64,"$72,100 ",4.50%,4,13-Jul,18-Oct,Cohen Media Group
193,A Late Quartet,"$1,562,548 ",100,"$75,279 ",4.80%,9,2-Nov,14-Mar,Entertainment One
194,A Royal Affair,"$1,546,761 ",56,"$38,212 ",2.50%,7,9-Nov,2-May,Magnolia Pictures
195,The Dark Knight,"$1,513,086 ",-,-,-,-,19-Jul,19-Jul,Warner Bros.
,2012 Re-release,,,,,,,,
196,Batman Begins,"$1,508,658 ",-,-,-,-,19-Jul,19-Jul,Warner Bros.
,2012 Re-release,,,,,,,,
197,The Kid with a Bike,"$1,470,000 ",86,"$45,933 ",3.10%,3,16-Mar,14-Jun,IFC Films
198,Marley,"$1,413,480 ",73,"$262,004 ",18.50%,42,20-Apr,16-Aug,Magnolia Pictures
199,Chasing Ice,"$1,328,467 ",53,-,-,-,9-Nov,2-May,Submarine Deluxe
200,Air Racers,"$1,309,987 ",10,-,-,-,6-Apr,9-Sep,3D Entertainment
