Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,The Avengers,"$623,357,910 ","4,349","$207,438,708 ",33.30%,"4,349",4-May,4-Oct,Walt Disney Studios Motion Pictures
2,The Dark Knight Rises,"$448,139,099 ","4,404","$160,887,295 ",35.90%,"4,404",20-Jul,13-Dec,Warner Bros.
3,The Hunger Games,"$408,010,692 ","4,137","$152,535,747 ",37.40%,"4,137",23-Mar,6-Sep,Lionsgate
4,Skyfall,"$304,360,277 ","3,526","$88,364,714 ",29%,"3,505",9-Nov,10-Mar,Sony Pictures Releasing
5,The Hobbit: An Unexpected Journey,"$303,003,568 ","4,100","$84,617,303 ",27.90%,"4,045",14-Dec,25-Apr,Warner Bros.
6,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737 ","4,070","$141,067,634 ",48.30%,"4,070",16-Nov,7-Mar,Lionsgate
7,The Amazing Spider-Man,"$262,030,663 ","4,318","$62,004,688 ",23.70%,"4,318",3-Jul,14-Oct,Sony Pictures Releasing
8,Brave,"$237,283,207 ","4,164","$66,323,594 ",28%,"4,164",22-Jun,17-Jan,Walt Disney Studios Motion Pictures
9,Ted,"$218,815,487 ","3,303","$54,415,205 ",24.90%,"3,239",29-Jun,25-Oct,Universal Pictures
10,Madagascar 3: Europe's Most Wanted,"$216,391,482 ","4,263","$60,316,738 ",27.90%,"4,258",8-Jun,18-Oct,DreamWorks
11,The Lorax,"$214,151,550 ","3,769","$70,217,070 ",32.80%,"3,729",2-Mar,26-Jul,Universal Pictures
12,Wreck-It Ralph,"$189,422,889 ","3,752","$49,038,712 ",25.90%,"3,752",2-Nov,2-May,Walt Disney Studios Motion Pictures
13,Lincoln,"$182,207,973 ","2,293","$944,308 ",0.50%,11,9-Nov,25-Apr,Walt Disney Studios Motion Pictures
14,Men in Black³,"$179,020,854 ","4,248","$54,592,779 ",30.50%,"4,248",25-May,9-Sep,Sony Pictures Releasing
15,Django Unchained,"$162,805,434 ","3,012","$30,122,888 ",18.50%,"3,010",25-Dec,16-May,The Weinstein Company
16,Ice Age: Continental Drift,"$161,321,843 ","3,886","$46,629,259 ",28.90%,"3,881",13-Jul,7-Feb,Twentieth Century Fox
17,Snow White and the Huntsman,"$155,332,381 ","3,777","$56,217,700 ",36.20%,"3,773",1-Jun,6-Sep,Universal Pictures
18,Les Misérables,"$148,809,770 ","2,927","$27,281,735 ",18.30%,"2,814",25-Dec,4-Apr,Universal Pictures
19,Hotel Transylvania,"$148,313,048 ","3,375","$42,522,194 ",28.70%,"3,349",28-Sep,28-Feb,Sony Pictures Releasing
20,Taken 2,"$139,854,287 ","3,706","$49,514,769 ",35.40%,"3,661",5-Oct,21-Feb,Twentieth Century Fox
21,21 Jump Street,"$138,447,667 ","3,148","$36,302,612 ",26.20%,"3,121",16-Mar,1-Jul,Sony Pictures Releasing
22,Argo,"$136,025,503 ","3,247","$19,458,109 ",14.30%,"3,232",12-Oct,24-Apr,Warner Bros.
23,Silver Linings Playbook,"$132,092,958 ","2,809","$443,003 ",0.30%,16,16-Nov,6-Jun,The Weinstein Company
24,Prometheus,"$126,477,084 ","3,442","$51,050,101 ",40.40%,"3,396",8-Jun,20-Sep,Twentieth Century Fox
25,Safe House,"$126,373,434 ","3,121","$40,172,720 ",31.80%,"3,119",10-Feb,17-May,Universal Pictures
26,The Vow,"$125,014,030 ","3,038","$41,202,458 ",33%,"2,958",10-Feb,17-May,Screen Gems
27,Life of Pi,"$124,987,023 ","2,946","$22,451,514 ",18%,"2,927",21-Nov,25-Jul,Twentieth Century Fox
28,Magic Mike,"$113,721,571 ","3,120","$39,127,170 ",34.40%,"2,930",29-Jun,27-Sep,Warner Bros.
29,The Bourne Legacy,"$113,203,870 ","3,753","$38,142,825 ",33.70%,"3,745",10-Aug,8-Nov,Universal Pictures
30,Journey 2: The Mysterious Island,"$103,860,290 ","3,500","$27,335,363 ",26.30%,"3,470",10-Feb,28-Jun,Warner Bros.
31,Rise of the Guardians,"$103,412,758 ","3,672","$23,773,465 ",23%,"3,653",21-Nov,11-Apr,DreamWorks
32,Zero Dark Thirty,"$95,720,716 ","2,946","$417,150 ",0.40%,5,19-Dec,31-Mar,Sony Pictures Releasing
33,Flight,"$93,772,375 ","2,638","$24,900,566 ",26.60%,"1,884",2-Nov,14-Feb,Paramount Pictures
34,Think Like a Man,"$91,547,205 ","2,052","$33,636,303 ",36.70%,"2,015",20-Apr,8-Jul,Screen Gems
35,The Campaign,"$86,907,746 ","3,302","$26,588,460 ",30.60%,"3,205",10-Aug,22-Nov,Warner Bros.
36,The Expendables 2,"$85,028,192 ","3,355","$28,591,370 ",33.60%,"3,316",17-Aug,22-Nov,Lionsgate
37,Wrath of the Titans,"$83,670,083 ","3,545","$33,457,188 ",40%,"3,545",30-Mar,28-Jun,Warner Bros.
38,Jack Reacher,"$80,070,736 ","3,352","$15,210,156 ",19%,"3,352",21-Dec,21-Mar,Paramount Pictures
39,Dark Shadows,"$79,727,149 ","3,755","$29,685,274 ",37.20%,"3,755",11-May,16-Aug,Warner Bros.
40,Parental Guidance,"$77,267,296 ","3,368","$14,554,053 ",18.80%,"3,367",25-Dec,23-May,Twentieth Century Fox
41,John Carter,"$73,078,100 ","3,749","$30,180,188 ",41.30%,"3,749",9-Mar,28-Jun,Walt Disney Studios Motion Pictures
42,Act of Valor,"$70,012,847 ","3,053","$24,476,632 ",35%,"3,039",24-Feb,7-Jun,Relativity Media
43,This Is 40,"$67,544,505 ","2,931","$11,579,175 ",17.10%,"2,912",21-Dec,28-Feb,Universal Pictures
44,Contraband,"$66,528,000 ","2,870","$24,349,815 ",36.60%,"2,863",13-Jan,15-Mar,Universal Pictures
45,Looper,"$66,486,205 ","2,993","$20,801,552 ",31.30%,"2,992",28-Sep,1-Jan,TriStar Pictures
46,Madea's Witness Protection,"$65,653,242 ","2,161","$25,390,575 ",38.70%,"2,161",29-Jun,20-Sep,Lionsgate
47,Battleship,"$65,422,625 ","3,702","$25,534,825 ",39%,"3,690",18-May,2-Aug,Universal Pictures
48,Pitch Perfect,"$65,001,093 ","2,787","$5,149,433 ",7.90%,335,28-Sep,14-Feb,Universal Pictures
49,Mirror Mirror,"$64,935,167 ","3,618","$18,132,085 ",27.90%,"3,603",30-Mar,16-Aug,Relativity Media
50,Chronicle,"$64,575,175 ","2,908","$22,004,098 ",34.10%,"2,907",3-Feb,7-Jun,Twentieth Century Fox
51,Hope Springs,"$63,536,011 ","2,441","$14,650,121 ",23.10%,"2,361",8-Aug,21-Oct,Sony Pictures Releasing
52,Underworld: Awakening,"$62,321,039 ","3,078","$25,306,725 ",40.60%,"3,078",20-Jan,8-Mar,Screen Gems
53,The Lucky One,"$60,457,138 ","3,175","$22,518,358 ",37.20%,"3,155",20-Apr,19-Jul,Warner Bros.
54,The Dictator,"$59,650,222 ","3,014","$17,435,092 ",29.20%,"3,008",16-May,26-Jul,Paramount Pictures
55,Total Recall,"$58,877,969 ","3,601","$25,577,758 ",43.40%,"3,601",3-Aug,7-Oct,Sony Pictures Releasing
56,Titanic,"$57,884,114 ","3,674","$17,285,453 ",29.90%,"2,674",4-Apr,7-Jun,Paramount Pictures
,2012 3D Release,,,,,,,,
57,American Reunion,"$57,011,521 ","3,203","$21,514,080 ",37.70%,"3,192",6-Apr,31-May,Universal Pictures
58,ParaNorman,"$56,003,051 ","3,455","$14,087,050 ",25.20%,"3,429",17-Aug,3-Jan,Focus Features
59,This Means War,"$54,760,791 ","3,189","$17,405,930 ",31.80%,"3,189",17-Feb,14-Jun,Twentieth Century Fox
60,Project X,"$54,731,865 ","3,055","$21,051,363 ",38.50%,"3,055",2-Mar,17-May,Warner Bros.
61,The Woman in Black,"$54,333,290 ","2,856","$20,874,072 ",38.40%,"2,855",3-Feb,3-May,CBS Films
62,Paranormal Activity 4,"$53,885,000 ","3,412","$29,003,866 ",53.80%,"3,412",19-Oct,3-Jan,Paramount Pictures
63,The Devil Inside,"$53,261,944 ","2,551","$33,732,515 ",63.30%,"2,285",6-Jan,22-Mar,Paramount Pictures
64,The Odd Life of Timothy Green,"$51,854,875 ","2,717","$10,822,903 ",20.90%,"2,598",15-Aug,17-Jan,Walt Disney Studios Motion Pictures
