Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Top Gun: Maverick,"$718,732,821 ","4,751","$126,707,459 ",17.60%,"4,735",27-May,16-Dec,Paramount Pictures
2,Avatar: The Way of Water,"$684,075,767 ","4,340","$134,100,226 ",19.60%,"4,202",16-Dec,25-May,20th Century Studios
3,Black Panther: Wakanda Forever,"$453,829,060 ","4,396","$181,339,761 ",40%,"4,396",11-Nov,16-Mar,Walt Disney Studios Motion Pictures
4,Doctor Strange in the Multiverse of Madness,"$411,331,607 ","4,534","$187,420,998 ",45.60%,"4,534",6-May,-,Walt Disney Studios Motion Pictures
5,Jurassic World Dominion,"$376,851,080 ","4,697","$145,075,625 ",38.50%,"4,676",10-Jun,23-Sep,Universal Pictures
6,Minions: The Rise of Gru,"$370,270,765 ","4,427","$107,010,140 ",28.90%,"4,391",1-Jul,-,Universal Pictures
7,The Batman,"$369,345,583 ","4,417","$134,008,624 ",36.30%,"4,417",4-Mar,-,Warner Bros.
8,Thor: Love and Thunder,"$343,256,830 ","4,375","$144,165,107 ",42%,"4,375",8-Jul,14-Oct,Walt Disney Studios Motion Pictures
9,Sonic the Hedgehog 2,"$190,872,904 ","4,258","$72,105,176 ",37.80%,"4,234",8-Apr,8-Jul,Paramount Pictures
10,Puss in Boots: The Last Wish,"$186,090,535 ","4,121","$12,429,515 ",6.70%,"4,099",21-Dec,-,Universal Pictures
11,Black Adam,"$168,152,111 ","4,402","$67,004,323 ",39.80%,"4,402",21-Oct,13-Jan,Warner Bros.
12,Elvis,"$151,040,048 ","3,932","$31,211,579 ",20.70%,"3,906",24-Jun,14-Oct,Warner Bros.
13,Uncharted,"$148,648,820 ","4,275","$44,010,155 ",29.60%,"4,275",18-Feb,-,Sony Pictures Releasing
14,Nope,"$123,277,080 ","3,807","$44,366,910 ",36%,"3,785",22-Jul,6-Oct,Universal Pictures
15,Lightyear,"$118,307,188 ","4,255","$50,577,961 ",42.80%,"4,255",17-Jun,9-Sep,Walt Disney Studios Motion Pictures
16,Smile,"$105,935,048 ","3,659","$22,609,925 ",21.30%,"3,645",30-Sep,16-Dec,Paramount Pictures
17,The Lost City,"$105,344,029 ","4,283","$30,453,269 ",28.90%,"4,253",25-Mar,23-Jun,Paramount Pictures
18,Bullet Train,"$103,368,602 ","4,357","$30,030,156 ",29.10%,"4,357",5-Aug,-,Sony Pictures Releasing
19,The Bad Guys,"$97,459,240 ","4,042","$23,950,245 ",24.60%,"4,008",22-Apr,17-Nov,Universal Pictures
20,Fantastic Beasts: The Secrets of Dumbledore,"$95,850,844 ","4,245","$42,151,256 ",44%,"4,208",15-Apr,1-Jul,Warner Bros.
