Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ","4,232","$220,009,584 ",35.50%,"4,232",15-Dec,19-Apr,Walt Disney Studios Motion Pictures
2,Beauty and the Beast,"$504,014,165 ","4,210","$174,750,616 ",34.70%,"4,210",17-Mar,13-Jul,Walt Disney Studios Motion Pictures
3,Wonder Woman,"$412,563,408 ","4,165","$103,251,471 ",25%,"4,165",2-Jun,9-Nov,Warner Bros.
4,Jumanji: Welcome to the Jungle,"$404,515,480 ","3,849","$36,169,328 ",8.90%,"3,765",20-Dec,31-May,Sony Pictures Releasing
5,Guardians of the Galaxy Vol. 2,"$389,813,101 ","4,347","$146,510,104 ",37.60%,"4,347",5-May,21-Sep,Walt Disney Studios Motion Pictures
6,Spider-Man: Homecoming,"$334,201,140 ","4,348","$117,027,503 ",35%,"4,348",7-Jul,30-Nov,Sony Pictures Releasing
7,It,"$327,481,748 ","4,148","$123,403,419 ",37.70%,"4,103",8-Sep,14-Dec,Warner Bros.
8,Thor: Ragnarok,"$315,058,289 ","4,080","$122,744,989 ",39%,"4,080",3-Nov,15-Mar,Walt Disney Studios Motion Pictures
9,Despicable Me 3,"$264,624,300 ","4,535","$72,434,025 ",27.40%,"4,529",30-Jun,21-Dec,Universal Pictures
10,Justice League,"$229,024,295 ","4,051","$93,842,239 ",41%,"4,051",17-Nov,15-Mar,Warner Bros.
11,Logan,"$226,277,068 ","4,071","$88,411,916 ",39.10%,"4,071",3-Mar,13-Jul,Twentieth Century Fox
12,The Fate of the Furious,"$226,008,385 ","4,329","$98,786,705 ",43.70%,"4,310",14-Apr,10-Aug,Universal Pictures
13,Coco,"$210,460,015 ","3,987","$50,802,605 ",24.10%,"3,987",22-Nov,26-Apr,Walt Disney Studios Motion Pictures
14,Dunkirk,"$188,045,546 ","4,014","$50,513,488 ",26.90%,"3,720",21-Jul,23-Nov,Warner Bros.
15,Get Out,"$176,040,665 ","3,143","$33,377,060 ",19%,"2,781",24-Feb,15-Feb,Universal Pictures
16,The Lego Batman Movie,"$175,750,384 ","4,088","$53,003,468 ",30.20%,"4,088",10-Feb,8-Jun,Warner Bros.
17,The Boss Baby,"$175,003,033 ","3,829","$50,198,902 ",28.70%,"3,773",31-Mar,2-Nov,Twentieth Century Fox
18,The Greatest Showman,"$174,340,174 ","3,342","$8,805,843 ",5.10%,"3,006",20-Dec,26-Jul,Twentieth Century Fox
19,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876 ","4,276","$62,983,253 ",36.50%,"4,276",26-May,21-Sep,Walt Disney Studios Motion Pictures
20,Kong: Skull Island,"$168,052,812 ","3,846","$61,025,472 ",36.30%,"3,846",10-Mar,15-Jun,Warner Bros.
21,Cars 3,"$152,901,115 ","4,256","$53,688,680 ",35.10%,"4,256",16-Jun,2-Nov,Walt Disney Studios Motion Pictures
22,War for the Planet of the Apes,"$146,880,162 ","4,100","$56,262,929 ",38.30%,"4,022",14-Jul,30-Nov,Twentieth Century Fox
23,Split,"$138,291,365 ","3,373","$40,010,975 ",28.90%,"3,038",20-Jan,11-May,Universal Pictures
24,Wonder,"$132,422,809 ","3,519","$27,547,866 ",20.80%,"3,096",17-Nov,22-Mar,Lionsgate
25,Transformers: The Last Knight,"$130,168,683 ","4,132","$44,680,073 ",34.30%,"4,069",21-Jun,24-Aug,Paramount Pictures
26,Girls Trip,"$115,171,585 ","2,648","$31,201,920 ",27.10%,"2,591",21-Jul,19-Oct,Universal Pictures
27,Fifty Shades Darker,"$114,581,250 ","3,714","$46,607,250 ",40.70%,"3,710",10-Feb,6-Apr,Universal Pictures
28,Baby Driver,"$107,825,862 ","3,226","$20,553,320 ",19.10%,"3,226",28-Jun,19-Oct,TriStar Pictures
29,Pitch Perfect 3,"$104,897,530 ","3,468","$19,928,525 ",19%,"3,447",22-Dec,8-Mar,Universal Pictures
30,Daddy's Home 2,"$104,029,443 ","3,575","$29,651,193 ",28.50%,"3,575",10-Nov,15-Feb,Paramount Pictures
31,Murder on the Orient Express,"$102,826,543 ","3,354","$28,681,472 ",27.90%,"3,341",10-Nov,1-Mar,Twentieth Century Fox
32,Annabelle: Creation,"$102,092,201 ","3,565","$35,006,404 ",34.30%,"3,502",11-Aug,2-Nov,Warner Bros.
33,Kingsman: The Golden Circle,"$100,229,647 ","4,038","$39,023,010 ",38.90%,"4,003",22-Sep,4-Jan,Twentieth Century Fox
34,Blade Runner 2049,"$92,054,159 ","4,058","$32,753,122 ",35.60%,"4,058",6-Oct,1-Feb,Warner Bros.
35,John Wick: Chapter 2,"$92,029,184 ","3,113","$30,436,123 ",33.10%,"3,113",10-Feb,27-Apr,Lionsgate
36,The Emoji Movie,"$86,089,513 ","4,075","$24,531,923 ",28.50%,"4,075",28-Jul,30-Nov,Sony Pictures Releasing
37,Power Rangers,"$85,364,450 ","3,693","$40,300,288 ",47.20%,"3,693",24-Mar,1-Jun,Lionsgate
38,Ferdinand,"$84,410,380 ","3,630","$13,401,586 ",15.90%,"3,621",15-Dec,31-May,Twentieth Century Fox
39,The Post,"$81,903,458 ","2,851","$526,011 ",0.60%,9,22-Dec,17-May,Twentieth Century Fox
40,The Mummy,"$80,227,895 ","4,035","$31,688,375 ",39.50%,"4,035",9-Jun,24-Aug,Universal Pictures
41,The Hitman's Bodyguard,"$75,468,583 ","3,377","$21,384,504 ",28.30%,"3,377",18-Aug,2-Nov,Lionsgate
42,Alien: Covenant,"$74,262,031 ","3,772","$36,160,621 ",48.70%,"3,761",19-May,31-Aug,Twentieth Century Fox
43,Captain Underpants: The First Epic Movie,"$73,921,000 ","3,529","$23,851,539 ",32.30%,"3,434",2-Jun,2-Nov,Twentieth Century Fox
44,A Bad Moms Christmas,"$72,110,659 ","3,615","$16,759,161 ",23.20%,"3,615",1-Nov,11-Jan,STX Entertainment
45,A Dog's Purpose,"$64,508,620 ","3,178","$18,222,810 ",28.20%,"3,059",27-Jan,18-May,Universal Pictures
46,The Shape of Water,"$63,859,435 ","2,341","$166,564 ",0.30%,2,1-Dec,3-May,-
47,The Lego Ninjago Movie,"$59,281,555 ","4,047","$20,433,071 ",34.50%,"4,047",22-Sep,30-Nov,Warner Bros.
48,Baywatch,"$58,060,186 ","3,647","$18,503,871 ",31.90%,"3,647",25-May,27-Jul,Paramount Pictures
49,The Shack,"$57,386,418 ","2,888","$16,172,119 ",28.20%,"2,888",3-Mar,18-May,Lionsgate
50,Darkest Hour,"$56,468,410 ","1,733","$175,006 ",0.30%,4,22-Nov,12-Apr,Focus Features
51,Happy Death Day,"$55,683,845 ","3,535","$26,039,025 ",46.80%,"3,149",13-Oct,14-Dec,Universal Pictures
52,"Three Billboards Outside Ebbing, Missouri","$54,513,740 ","1,726","$322,168 ",0.60%,4,10-Nov,3-May,-
53,Atomic Blonde,"$51,687,870 ","3,326","$18,286,420 ",35.40%,"3,304",28-Jul,5-Oct,Focus Features
54,American Made,"$51,342,000 ","3,098","$16,776,390 ",32.70%,"3,024",29-Sep,14-Dec,Universal Pictures
55,The Dark Tower,"$50,701,325 ","3,451","$19,153,698 ",37.80%,"3,451",4-Aug,19-Oct,Sony Pictures Releasing
56,Lady Bird,"$48,958,273 ","1,557","$364,437 ",0.70%,4,3-Nov,5-Apr,A24
57,Boo 2! A Madea Halloween,"$47,319,572 ","2,388","$21,226,953 ",44.90%,"2,388",20-Oct,14-Dec,Lionsgate
58,Snatched,"$45,852,178 ","3,511","$19,542,248 ",42.60%,"3,501",12-May,3-Aug,Twentieth Century Fox
59,The Great Wall,"$45,540,830 ","3,328","$18,469,620 ",40.60%,"3,326",17-Feb,1-Jun,Universal Pictures
60,Smurfs: The Lost Village,"$45,020,282 ","3,610","$13,210,449 ",29.30%,"3,610",7-Apr,3-Aug,Sony Pictures Releasing
61,Going in Style,"$45,018,541 ","3,076","$11,932,330 ",26.50%,"3,061",7-Apr,13-Jul,Warner Bros.
62,All Eyez on Me,"$44,922,302 ","2,471","$26,435,354 ",58.80%,"2,471",16-Jun,3-Aug,Lionsgate
63,xXx: Return of Xander Cage,"$44,898,413 ","3,651","$20,130,142 ",44.80%,"3,651",20-Jan,16-Mar,Paramount Pictures
64,47 Meters Down,"$44,307,191 ","2,471","$11,205,561 ",25.30%,"2,270",16-Jun,19-Oct,Entertainment Studios Motion Pictures
65,The Big Sick,"$42,873,127 ","2,597","$421,577 ",1%,5,23-Jun,22-Oct,Lionsgate
66,Valerian and the City of a Thousand Planets,"$41,189,488 ","3,553","$17,007,624 ",41.30%,"3,553",21-Jul,21-Sep,STX Entertainment
67,The Star,"$40,852,824 ","2,976","$9,812,674 ",24%,"2,837",17-Nov,15-Feb,Sony Pictures Releasing
68,Ghost in the Shell,"$40,563,557 ","3,440","$18,676,033 ",46%,"3,440",31-Mar,25-May,Paramount Pictures
69,King Arthur: Legend of the Sword,"$39,175,066 ","3,702","$15,371,270 ",39.20%,"3,702",12-May,20-Jul,Warner Bros.
70,Jigsaw,"$38,052,832 ","2,941","$16,640,452 ",43.70%,"2,941",27-Oct,21-Dec,Lionsgate
71,American Assassin,"$36,249,674 ","3,154","$14,846,778 ",41%,"3,154",15-Sep,9-Nov,Lionsgate
72,The Foreigner,"$34,393,507 ","2,515","$13,113,024 ",38.10%,"2,515",13-Oct,21-Dec,STX Entertainment
73,"Everything, Everything","$34,121,140 ","2,801","$11,727,390 ",34.40%,"2,801",19-May,27-Jul,Warner Bros.
74,Wind River,"$33,800,859 ","2,890","$161,558 ",0.50%,4,4-Aug,7-Dec,The Weinstein Company
75,Geostorm,"$33,700,160 ","3,246","$13,707,376 ",40.70%,"3,246",20-Oct,11-Jan,Warner Bros.
76,Monster Trucks,"$33,370,166 ","3,119","$10,950,705 ",32.80%,"3,119",13-Jan,16-Mar,Paramount Pictures
77,Fist Fight,"$32,187,017 ","3,185","$12,201,873 ",37.90%,"3,185",17-Feb,13-Apr,Warner Bros.
78,How to Be a Latin Lover,"$32,149,404 ","1,203","$12,252,439 ",38.10%,"1,118",28-Apr,22-Jun,Pantelion Films
79,Kidnap,"$30,971,040 ","2,418","$10,016,323 ",32.30%,"2,378",4-Aug,16-Nov,Aviron Pictures
80,Underworld: Blood Wars,"$30,353,973 ","3,070","$13,688,751 ",45.10%,"3,070",6-Jan,9-Mar,Screen Gems
81,The Mountain Between Us,"$30,348,555 ","3,259","$10,551,336 ",34.80%,"3,088",6-Oct,21-Dec,Twentieth Century Fox
82,Life,"$30,234,022 ","3,146","$12,501,936 ",41.40%,"3,146",24-Mar,1-Jun,Sony Pictures Releasing
83,"I, Tonya","$30,014,539 ","1,450","$264,155 ",0.90%,4,8-Dec,19-Apr,Neon
84,Hostiles,"$29,819,114 ","2,934","$22,849 ",<0.1%,3,22-Dec,10-May,Entertainment Studios Motion Pictures
