Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ","4,134","$247,966,675 ",26.50%,"4,134",18-Dec,2-Jun,Walt Disney Studios Motion Pictures
2,Jurassic World,"$652,270,625 ","4,291","$208,806,270 ",32%,"4,274",12-Jun,19-Nov,Universal Pictures
3,Avengers: Age of Ultron,"$459,005,868 ","4,276","$191,271,109 ",41.70%,"4,276",1-May,8-Oct,Walt Disney Studios Motion Pictures
4,Inside Out,"$356,461,711 ","4,158","$90,440,272 ",25.40%,"3,946",19-Jun,10-Dec,Walt Disney Studios Motion Pictures
5,Furious 7,"$353,007,020 ","4,022","$147,187,040 ",41.70%,"4,004",3-Apr,24-Jul,Universal Pictures
6,Minions,"$336,045,770 ","4,311","$115,718,405 ",34.40%,"4,301",10-Jul,17-Dec,Universal Pictures
7,The Hunger Games: Mockingjay - Part 2,"$281,723,902 ","4,175","$102,665,981 ",36.40%,"4,175",20-Nov,25-Feb,Lionsgate
8,The Martian,"$228,433,663 ","3,854","$54,308,575 ",23.80%,"3,831",2-Oct,17-Mar,Twentieth Century Fox
9,Cinderella,"$201,151,353 ","3,848","$67,877,361 ",33.70%,"3,845",13-Mar,17-Sep,Walt Disney Studios Motion Pictures
10,Spectre,"$200,074,609 ","3,929","$70,403,148 ",35.20%,"3,929",6-Nov,7-Apr,Sony Pictures Releasing
11,Mission: Impossible - Rogue Nation,"$195,042,377 ","3,988","$55,520,089 ",28.50%,"3,956",31-Jul,29-Oct,Paramount Pictures
12,Pitch Perfect 2,"$184,296,230 ","3,660","$69,216,890 ",37.60%,"3,473",15-May,30-Jul,Universal Pictures
13,The Revenant,"$183,637,894 ","3,711","$474,560 ",0.30%,4,25-Dec,26-May,Twentieth Century Fox
14,Ant-Man,"$180,202,163 ","3,868","$57,225,526 ",31.80%,"3,856",17-Jul,17-Dec,Walt Disney Studios Motion Pictures
15,Home,"$177,397,510 ","3,801","$52,107,731 ",29.40%,"3,708",27-Mar,10-Sep,Twentieth Century Fox
