Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
67,The Angry Birds Movie 2,"$41,667,116 ","3,869","$10,354,073 ",24.80%,"3,869",13-Aug,14-Nov,Sony Pictures Releasing
68,Little,"$40,860,481 ","2,667","$15,405,455 ",37.70%,"2,667",12-Apr,6-Jun,Universal Pictures
69,Breakthrough,"$40,713,082 ","2,913","$11,282,333 ",27.70%,"2,824",17-Apr,4-Jul,Twentieth Century Fox
70,Crawl,"$39,014,193 ","3,170","$12,005,210 ",30.80%,"3,170",12-Jul,5-Sep,Paramount Pictures
71,Just Mercy,"$36,001,502 ","2,457","$107,858 ",0.30%,4,25-Dec,-,Warner Bros.
72,The Intruder,"$35,419,122 ","2,231","$10,855,054 ",30.60%,"2,222",3-May,27-Jun,Screen Gems
73,The Hustle,"$35,417,038 ","3,077","$13,007,709 ",36.70%,"3,007",10-May,11-Jul,United Artists Releasing
74,Last Christmas,"$35,150,750 ","3,454","$11,441,055 ",32.50%,"3,448",8-Nov,2-Jan,Universal Pictures
75,Overcomer,"$34,746,945 ","2,293","$8,146,533 ",23.40%,"1,723",23-Aug,5-Dec,Affirm Films
76,Jojo Rabbit,"$33,370,906 ","1,173","$349,555 ",1%,5,18-Oct,-,-
77,Cold Pursuit,"$32,138,862 ","2,630","$11,030,233 ",34.30%,"2,630",8-Feb,18-Apr,Lionsgate
78,Bombshell,"$31,762,808 ","1,721","$319,157 ",1%,4,13-Dec,-,Lionsgate
79,Doctor Sleep,"$31,581,712 ","3,855","$14,114,124 ",44.70%,"3,855",8-Nov,9-Jan,Warner Bros.
80,Dragon Ball Super: Broly,"$30,712,119 ","1,267","$9,816,197 ",32%,"1,238",16-Jan,20-Feb,FUNimation Entertainment
81,Long Shot,"$30,316,271 ","3,230","$9,740,064 ",32.10%,"3,230",3-May,20-Jun,Lionsgate
82,Child's Play,"$29,208,403 ","3,007","$14,094,594 ",48.30%,"3,007",21-Jun,8-Aug,United Artists Releasing
83,Ready or Not,"$28,714,231 ","2,998","$8,015,590 ",27.90%,"2,855",21-Aug,24-Oct,-
84,21 Bridges,"$28,539,757 ","2,665","$9,261,268 ",32.50%,"2,665",22-Nov,23-Jan,STX Entertainment
85,Happy Death Day 2U,"$28,148,130 ","3,212","$9,497,665 ",33.70%,"3,207",13-Feb,4-Apr,Universal Pictures
86,Midsommar,"$27,426,361 ","2,707","$6,560,030 ",23.90%,"2,707",3-Jul,-,A24
87,Cats,"$27,166,770 ","3,380","$6,619,870 ",24.40%,"3,380",20-Dec,13-Feb,Universal Pictures
88,The Art of Racing in the Rain,"$26,395,642 ","2,765","$8,137,584 ",30.80%,"2,765",9-Aug,24-Oct,Twentieth Century Fox
89,Countdown,"$25,621,766 ","2,675","$8,865,082 ",34.60%,"2,675",25-Oct,9-Jan,STX Entertainment
90,Judy,"$24,313,888 ","1,627","$2,916,548 ",12%,461,27-Sep,-,Roadside Attractions
91,Fighting with My Family,"$22,958,886 ","2,855","$138,780 ",0.60%,4,14-Feb,23-May,Metro-Goldwyn-Mayer (MGM)
92,A Dog's Journey,"$22,782,371 ","3,279","$8,030,085 ",35.20%,"3,267",17-May,18-Jul,Universal Pictures
93,Booksmart,"$22,680,962 ","2,518","$6,933,620 ",30.60%,"2,505",24-May,8-Aug,United Artists Releasing
94,Stuber,"$22,370,452 ","3,050","$8,225,384 ",36.80%,"3,050",12-Jul,29-Aug,Twentieth Century Fox
95,Richard Jewell,"$22,345,542 ","2,502","$4,705,265 ",21.10%,"2,502",13-Dec,6-Feb,Warner Bros.
96,47 Meters Down: Uncaged,"$22,260,900 ","2,883","$8,427,265 ",37.90%,"2,853",16-Aug,-,Entertainment Studios Motion Pictures
97,Black and Blue,"$22,055,313 ","2,062","$8,376,846 ",38%,"2,062",25-Oct,2-Jan,Screen Gems
98,Hellboy,"$21,903,748 ","3,303","$12,045,147 ",55%,"3,303",12-Apr,16-May,Lionsgate
99,Shaft,"$21,360,215 ","2,952","$8,901,419 ",41.70%,"2,952",14-Jun,15-Aug,Warner Bros.
100,The Peanut Butter Falcon,"$20,457,158 ","1,490","$204,793 ",1%,17,9-Aug,19-Dec,Roadside Attractions
101,UglyDolls,"$20,150,241 ","3,652","$8,603,407 ",42.70%,"3,652",3-May,4-Jul,STX Entertainment
102,Unplanned,"$19,005,109 ","1,516","$6,382,298 ",33.60%,"1,059",29-Mar,-,Pure Flix Entertainment
103,Charlie's Angels,"$17,803,077 ","3,452","$8,351,109 ",46.90%,"3,452",15-Nov,-,Sony Pictures Releasing
104,The Farewell,"$17,695,781 ",891,"$355,662 ",2%,4,12-Jul,-,A24
105,Brightburn,"$17,300,439 ","2,607","$7,845,658 ",45.30%,"2,607",24-May,27-Jun,Screen Gems
106,The Good Liar,"$17,156,058 ","2,454","$5,605,051 ",32.70%,"2,439",15-Nov,16-Jan,Warner Bros.
107,The Kid Who Would Be King,"$16,790,790 ","3,528","$7,173,887 ",42.70%,"3,521",25-Jan,4-Apr,Twentieth Century Fox
108,Missing Link,"$16,649,539 ","3,437","$5,944,950 ",35.70%,"3,413",12-Apr,11-Jul,United Artists Releasing
109,Late Night,"$15,499,454 ","2,220","$246,305 ",1.60%,4,7-Jun,29-Aug,Amazon Studios
110,Miss Bala,"$15,006,824 ","2,203","$6,864,744 ",45.70%,"2,203",1-Feb,21-Mar,Sony Pictures Releasing
111,The Prodigy,"$14,856,291 ","2,530","$5,853,061 ",39.40%,"2,530",8-Feb,11-Apr,Orion Pictures
112,Poms,"$13,631,124 ","2,750","$5,361,937 ",39.30%,"2,750",10-May,20-Jun,STX Entertainment
113,Apocalypse Now,"$12,500,000 ",-,-,-,-,15-Aug,-,Lionsgate
,The Final Cut,,,,,,,,
114,The Kitchen,"$12,180,032 ","2,745","$5,527,410 ",45.40%,"2,745",9-Aug,3-Oct,Warner Bros.
115,After,"$12,138,565 ","2,138","$6,002,349 ",49.40%,"2,138",12-Apr,6-Jun,Aviron Pictures
116,Blinded by the Light,"$11,901,145 ","2,307","$4,333,305 ",36.40%,"2,307",16-Aug,10-Oct,Warner Bros.
117,Dark Waters,"$11,136,084 ","2,112","$102,606 ",0.90%,4,22-Nov,16-Jan,Focus Features
118,The Lighthouse,"$10,867,104 ",978,"$427,797 ",3.90%,8,18-Oct,-,A24
119,Greta,"$10,532,219 ","2,417","$4,481,910 ",42.60%,"2,411",1-Mar,4-Apr,Focus Features
120,Black Christmas,"$10,429,730 ","2,625","$4,240,245 ",40.70%,"2,625",13-Dec,-,Universal Pictures
121,The Best of Enemies,"$10,205,616 ","1,705","$4,446,190 ",43.60%,"1,705",5-Apr,16-May,STX Entertainment
122,Hotel Mumbai,"$9,651,611 ",930,"$88,065 ",0.90%,4,22-Mar,6-Jun,Bleecker Street Media
123,Motherless Brooklyn,"$9,277,736 ","1,342","$3,500,454 ",37.70%,"1,342",1-Nov,19-Dec,Warner Bros.
124,No Manches Frida 2,"$9,270,920 ",472,"$3,831,401 ",41.30%,472,15-Mar,2-May,Pantelion Films
125,"Where'd You Go, Bernadette","$9,198,356 ","2,404","$3,462,308 ",37.60%,"2,404",16-Aug,10-Oct,United Artists Releasing
126,Apollo 11,"$9,039,891 ",588,"$1,607,040 ",17.80%,120,1-Mar,21-Jul,Neon
127,Serenity,"$8,547,045 ","2,561","$4,415,403 ",51.70%,"2,561",25-Jan,7-Mar,Aviron Pictures
128,Anna,"$7,743,794 ","2,114","$3,600,647 ",46.50%,"2,114",21-Jun,8-Aug,Lionsgate
129,Penguins,"$7,699,452 ","1,815","$2,282,593 ",29.60%,"1,815",17-Apr,13-Jun,Walt Disney Studios Motion Pictures
130,Brittany Runs a Marathon,"$7,189,808 ","1,033","$180,711 ",2.50%,5,23-Aug,-,Amazon Studios
131,The Dead Don't Die,"$6,563,605 ",690,"$2,540,240 ",38.70%,613,14-Jun,18-Jul,Focus Features
132,Jexi,"$6,546,159 ","2,332","$3,106,730 ",47.50%,"2,332",11-Oct,8-Nov,Lionsgate
133,Run the Race,"$6,424,420 ","1,075","$2,161,480 ",33.60%,853,22-Feb,2-May,Roadside Attractions
134,The Current War,"$5,979,540 ","1,082","$2,633,717 ",44%,"1,022",25-Oct,-,101 Studios
135,The Wandering Earth,"$5,971,413 ",129,"$1,685,287 ",28.20%,64,5-Feb,4-Apr,-
136,Captive State,"$5,958,315 ","2,549","$3,131,525 ",52.60%,"2,548",15-Mar,4-Apr,Focus Features
137,Arctic Dogs,"$5,801,249 ","2,844","$2,901,335 ",50%,"2,844",1-Nov,-,Entertainment Studios Motion Pictures
138,Gloria Bell,"$5,611,123 ","1,127","$145,218 ",2.60%,5,8-Mar,23-May,A24
139,Gully Boy,"$5,566,534 ",270,"$2,045,068 ",36.70%,258,14-Feb,4-Apr,Viva Pictures
140,The Goldfinch,"$5,332,621 ","2,542","$2,679,027 ",50.20%,"2,542",13-Sep,24-Oct,Warner Bros.
141,Don't Let Go,"$5,215,062 ",922,"$2,338,669 ",44.80%,922,30-Aug,-,-
142,The Mustang,"$5,043,620 ",527,"$71,657 ",1.40%,4,15-Mar,16-May,Focus Features
143,The Sun Is Also a Star,"$4,950,029 ","2,073","$2,511,530 ",50.70%,"2,073",17-May,6-Jun,Warner Bros.
144,Bring the Soul: The Movie,"$4,809,800 ",873,"$2,296,491 ",-,873,7-Aug,-,Trafalgar Releasing
145,Compulsive Liar,"$4,697,364 ",89,"$607,229 ",12.90%,89,12-Jul,-,Entertainment One
146,War,"$4,654,000 ",305,"$1,607,627 ",34.50%,305,2-Oct,-,Yash Raj Films
147,Pavarotti,"$4,600,249 ",288,"$144,032 ",3.10%,19,7-Jun,-,CBS Films
148,Jay and Silent Bob Reboot,"$4,589,490 ",788,"$93,520 ",2%,1,15-Oct,-,Saban Films
149,Pain and Glory,"$4,567,338 ",266,"$152,636 ",3.30%,4,4-Oct,-,Sony Pictures Classics
150,Tolkien,"$4,535,154 ","1,501","$2,200,537 ",48.50%,"1,495",10-May,13-Jun,-
151,The Last Black Man in San Francisco,"$4,515,719 ",207,"$235,272 ",5.20%,7,7-Jun,-,A24
152,Brian Banks,"$4,376,819 ","1,240","$2,156,272 ",49.30%,"1,240",9-Aug,26-Sep,Bleecker Street Media
153,The Biggest Little Farm,"$4,366,949 ",285,"$110,492 ",2.50%,5,10-May,-,Neon
154,Linda Ronstadt: The Sound of My Voice,"$4,252,657 ",247,"$113,235 ",2.70%,7,6-Sep,-,Greenwich Entertainment
155,Uri: The Surgical Strike,"$4,186,168 ",132,"$631,146 ",15.10%,101,11-Jan,28-Mar,-
156,Replicas,"$4,046,429 ","2,329","$2,375,325 ",58.70%,"2,329",11-Jan,21-Feb,Entertainment Studios Motion Pictures
157,Ip Man 4: The Finale,"$3,956,031 ",125,"$737,718 ",18.60%,70,25-Dec,-,Well Go USA Entertainment
158,Portrait of a Lady on Fire,"$3,759,854 ",334,"$67,344 ",1.80%,2,6-Dec,-,Neon
159,Ne Zha,"$3,695,533 ",135,"$1,015,755 ",27.50%,66,29-Aug,-,Well Go USA Entertainment
160,Mission Mangal,"$3,659,413 ",263,"$1,365,006 ",37.30%,263,15-Aug,26-Sep,FIP
161,The Oscar Nominated Short Films 2019: Documentary,"$3,531,094 ",415,"$938,455 ",26.60%,270,8-Feb,28-Mar,Shorts International
162,BTS World Tour: Love Yourself in Seoul,"$3,509,917 ",997,"$2,860,016 ",81.50%,997,26-Jan,-,Fathom Events
163,The Beach Bum,"$3,502,600 ","1,100","$1,763,070 ",50.30%,"1,100",29-Mar,9-May,Neon
164,Echo in the Canyon,"$3,355,324 ",147,"$117,651 ",3.50%,2,24-May,-,Greenwich Entertainment
165,Maiden,"$3,168,978 ",180,"$46,931 ",1.50%,6,28-Jun,-,Sony Pictures Classics
166,Honey Boy,"$3,012,615 ",460,"$301,065 ",10%,4,8-Nov,-,Amazon Studios
167,Bharat,"$2,971,549 ",311,"$1,252,301 ",42.10%,311,5-Jun,4-Jul,Viva Pictures
168,Friends 25th: The One With The Anniversary,"$2,884,827 ","1,586","$1,177,873 ",40.80%,"1,586",23-Sep,-,Fathom Events
169,Saaho,"$2,872,057 ",381,"$1,452,102 ",50.60%,381,29-Aug,-,Yash Raj Films
170,Kalank,"$2,729,336 ",320,"$1,276,581 ",46.80%,320,17-Apr,9-May,FIP
171,Tod@s caen,"$2,670,925 ",371,"$1,098,401 ",41.10%,371,30-Aug,3-Oct,Pantelion Films
172,Everybody Knows,"$2,660,165 ",283,"$71,207 ",2.70%,4,8-Feb,4-Apr,Focus Features
173,Promare,"$2,529,324 ",701,"$109,085 ",4.30%,54,17-Sep,-,GKIDS
174,The Art of Self-Defense,"$2,410,914 ",550,"$114,374 ",4.70%,7,12-Jul,8-Aug,Bleecker Street Media
175,Arctic,"$2,410,795 ",268,"$50,878 ",2.10%,4,1-Feb,9-May,Bleecker Street Media
,2019 Re-release,,,,,,,,
176,"My People, My Country","$2,356,683 ",83,"$876,001 ",37.20%,67,1-Oct,7-Nov,-
177,Super 30,"$2,269,878 ",317,"$871,256 ",38.40%,317,12-Jul,-,Reliance Big Pictures
178,Faustina: Love and Mercy,"$2,243,180 ",810,-,-,-,28-Oct,-,Fathom Events
179,Gone with the Wind,"$2,176,120 ",717,"$1,089,932 ",50.10%,717,28-Feb,21-Mar,Fathom Events
,2019 Re-release,,,,,,,,
180,3 from Hell,"$2,172,949 ",667,-,-,-,16-Sep,-,Saban Films
181,Total Dhamaal,"$2,167,632 ",209,"$989,387 ",45.60%,202,22-Feb,21-Mar,FIP
182,Housefull 4,"$2,109,160 ",315,"$904,808 ",42.90%,315,25-Oct,21-Nov,FIP
183,The Wizard of Oz,"$2,076,020 ",681,"$1,195,606 ",57.60%,681,27-Jan,7-Feb,Fathom Events
,2019 Re-release,,,,,,,,
184,Luce,"$2,010,613 ",235,"$132,987 ",6.60%,5,2-Aug,-,Neon
185,Chhichhore,"$2,004,400 ",195,"$614,335 ",30.60%,195,6-Sep,10-Oct,FIP
186,Official Secrets,"$1,988,546 ",485,"$64,965 ",3.30%,4,30-Aug,-,IFC Films
187,Better Days,"$1,921,657 ",88,"$989,536 ",51.50%,70,8-Nov,-,Well Go USA Entertainment
188,Badla,"$1,861,000 ",115,"$596,446 ",32%,50,8-Mar,31-Mar,Reliance Big Pictures
189,The White Crow,"$1,828,784 ",365,"$78,782 ",4.30%,5,26-Apr,-,Sony Pictures Classics
190,The Other Side of Heaven 2: Fire of Faith,"$1,807,216 ",205,"$454,257 ",25.10%,205,28-Jun,-,ArtAffects Entertainment
191,Fantastic Fungi,"$1,788,322 ",37,"$9,419 ",0.50%,1,20-Sep,-,Area 23a
192,A Hidden Life,"$1,730,597 ",151,"$50,383 ",2.90%,5,13-Dec,6-Feb,-
193,Waves,"$1,658,790 ",570,"$134,333 ",8.10%,4,15-Nov,-,A24
194,Wild Rose,"$1,635,117 ",195,"$52,938 ",3.20%,4,21-Jun,-,Neon
195,The Aftermath,"$1,618,497 ",344,"$56,419 ",3.50%,5,15-Mar,2-May,-
196,Western Stars,"$1,581,681 ",553,"$560,282 ",35.40%,345,25-Oct,12-Dec,Warner Bros.
197,Red Joan,"$1,579,730 ",195,"$38,949 ",2.50%,4,19-Apr,4-Jul,IFC Films
198,After the Wedding,"$1,574,258 ",428,"$50,264 ",3.20%,5,9-Aug,-,Sony Pictures Classics
199,Extreme Job,"$1,565,885 ",26,"$42,587 ",2.70%,2,25-Jan,4-Apr,CJ Entertainment
200,The Kid,"$1,508,593 ",268,"$514,286 ",34.10%,268,8-Mar,18-Apr,Lionsgate
