Rank,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
1,Avengers: Endgame,"$858,373,000 ","4,662","$357,115,007 ",41.60%,"4,662",26-Apr,12-Sep,Walt Disney Studios Motion Pictures
2,The Lion King,"$543,638,043 ","4,802","$191,770,759 ",35.30%,"4,725",19-Jul,5-Dec,Walt Disney Studios Motion Pictures
3,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542 ","4,406","$177,383,864 ",34.40%,"4,406",20-Dec,-,Walt Disney Studios Motion Pictures
4,Frozen II,"$477,373,578 ","4,440","$130,263,358 ",27.30%,"4,440",22-Nov,-,Walt Disney Studios Motion Pictures
5,Toy Story 4,"$434,038,008 ","4,575","$120,908,065 ",27.90%,"4,575",21-Jun,5-Dec,Walt Disney Studios Motion Pictures
6,Captain Marvel,"$426,829,839 ","4,310","$153,433,423 ",35.90%,"4,310",8-Mar,4-Jul,Walt Disney Studios Motion Pictures
7,Spider-Man: Far from Home,"$390,532,085 ","4,634","$92,579,212 ",23.70%,"4,634",2-Jul,24-Oct,Sony Pictures Releasing
8,Aladdin,"$355,559,216 ","4,476","$91,500,929 ",25.70%,"4,476",24-May,24-Oct,Walt Disney Studios Motion Pictures
9,Joker,"$335,451,311 ","4,374","$96,202,337 ",28.70%,"4,374",4-Oct,-,Warner Bros.
10,Jumanji: The Next Level,"$320,314,960 ","4,227","$59,251,543 ",18.50%,"4,227",13-Dec,-,Sony Pictures Releasing
11,It Chapter Two,"$211,593,228 ","4,570","$91,062,152 ",43%,"4,570",6-Sep,5-Dec,Warner Bros.
12,Us,"$175,084,580 ","3,743","$71,117,625 ",40.60%,"3,741",22-Mar,6-Jun,Universal Pictures
13,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935 ","4,344","$60,038,950 ",34.50%,"4,253",2-Aug,1-Nov,Universal Pictures
14,John Wick: Chapter 3 - Parabellum,"$171,015,687 ","3,850","$56,818,067 ",33.20%,"3,850",17-May,12-Sep,Lionsgate
15,Knives Out,"$165,363,234 ","3,461","$26,769,548 ",16.20%,"3,461",27-Nov,-,Lionsgate
16,How to Train Your Dragon: The Hidden World,"$160,799,505 ","4,286","$55,022,245 ",34.20%,"4,259",22-Feb,13-Jun,Universal Pictures
17,1917,"$159,227,644 ","3,987","$576,216 ",0.40%,11,25-Dec,-,Universal Pictures
18,The Secret Life of Pets 2,"$158,980,250 ","4,564","$46,652,680 ",29.30%,"4,561",7-Jun,19-Sep,Universal Pictures
19,Pokémon: Detective Pikachu,"$144,105,346 ","4,248","$54,365,242 ",37.70%,"4,202",10-May,15-Aug,Warner Bros.
20,Once Upon a Time... in Hollywood,"$142,502,728 ","3,659","$41,082,018 ",28.80%,"3,659",26-Jul,20-Feb,Sony Pictures Releasing
21,Shazam!,"$140,371,656 ","4,306","$53,505,326 ",38.10%,"4,217",5-Apr,25-Jul,Warner Bros.
22,Ford v Ferrari,"$117,624,357 ","3,746","$31,474,958 ",26.80%,"3,528",15-Nov,-,Twentieth Century Fox
23,Dumbo,"$114,766,307 ","4,259","$45,990,748 ",40.10%,"4,259",29-Mar,8-Aug,Walt Disney Studios Motion Pictures
24,Maleficent: Mistress of Evil,"$113,929,605 ","3,820","$36,948,713 ",32.40%,"3,790",18-Oct,13-Feb,Walt Disney Studios Motion Pictures
25,Glass,"$111,048,468 ","3,844","$40,328,920 ",36.30%,"3,841",18-Jan,4-Apr,Universal Pictures
26,Godzilla: King of the Monsters,"$110,500,138 ","4,108","$47,776,293 ",43.20%,"4,108",31-May,29-Aug,Warner Bros.
27,The Upside,"$108,252,517 ","3,568","$20,355,000 ",18.80%,"3,080",11-Jan,2-May,STX Entertainment
28,Little Women,"$108,101,214 ","3,308","$16,755,310 ",15.50%,"3,308",25-Dec,-,Sony Pictures Releasing
29,The Lego Movie 2: The Second Part,"$105,806,508 ","4,303","$34,115,335 ",32.20%,"4,303",8-Feb,9-May,Warner Bros.
30,Hustlers,"$104,963,598 ","3,525","$33,181,361 ",31.60%,"3,250",13-Sep,9-Jan,STX Entertainment
31,The Addams Family,"$100,044,905 ","4,107","$30,300,007 ",30.30%,"4,007",11-Oct,-,United Artists Releasing
32,Downton Abbey,"$96,853,865 ","3,548","$31,033,665 ",32%,"3,079",20-Sep,-,Focus Features
33,Rocketman,"$96,368,160 ","3,610","$25,725,722 ",26.70%,"3,610",31-May,5-Sep,Paramount Pictures
34,Alita: Battle Angel,"$85,838,210 ","3,802","$28,525,613 ",33.20%,"3,790",14-Feb,9-May,Twentieth Century Fox
35,Good Boys,"$83,140,306 ","3,458","$21,402,605 ",25.70%,"3,204",16-Aug,1-Nov,Universal Pictures
36,Men in Black: International,"$80,001,807 ","4,224","$30,035,838 ",37.50%,"4,224",14-Jun,6-Oct,Sony Pictures Releasing
37,Annabelle Comes Home,"$74,152,591 ","3,613","$20,269,723 ",27.30%,"3,613",26-Jun,3-Oct,Warner Bros.
38,Yesterday,"$73,286,650 ","2,755","$17,010,050 ",23.20%,"2,603",28-Jun,5-Sep,Universal Pictures
39,A Madea Family Funeral,"$73,257,045 ","2,442","$27,062,332 ",36.90%,"2,442",1-Mar,16-May,Lionsgate
40,Zombieland: Double Tap,"$73,123,082 ","3,468","$26,803,104 ",36.70%,"3,468",18-Oct,23-Jan,Sony Pictures Releasing
41,Angel Has Fallen,"$69,030,436 ","3,336","$21,380,987 ",31%,"3,286",23-Aug,31-Oct,Lionsgate
42,Scary Stories to Tell in the Dark,"$68,947,075 ","3,135","$20,915,346 ",30.30%,"3,135",9-Aug,-,Lionsgate
43,Spies in Disguise,"$66,757,013 ","3,502","$13,354,798 ",20%,"3,502",25-Dec,-,Twentieth Century Fox
44,X-Men: Dark Phoenix,"$65,845,974 ","3,721","$32,828,348 ",49.90%,"3,721",7-Jun,15-Aug,Twentieth Century Fox
45,Terminator: Dark Fate,"$62,253,077 ","4,086","$29,033,832 ",46.60%,"4,086",1-Nov,26-Dec,Paramount Pictures
46,A Beautiful Day in the Neighborhood,"$61,704,055 ","3,491","$13,251,238 ",21.50%,"3,235",22-Nov,12-Mar,Sony Pictures Releasing
47,Abominable,"$60,716,390 ","4,248","$20,612,100 ",33.90%,"4,242",27-Sep,2-Jan,Universal Pictures
48,Dora and the Lost City of Gold,"$60,477,943 ","3,735","$17,431,588 ",28.80%,"3,735",9-Aug,-,Paramount Pictures
49,Escape Room,"$57,005,601 ","2,717","$18,238,172 ",32%,"2,717",4-Jan,25-Apr,Sony Pictures Releasing
50,Midway,"$56,846,802 ","3,242","$17,897,419 ",31.50%,"3,242",8-Nov,23-Jan,Lionsgate
51,The Curse of La Llorona,"$54,733,739 ","3,372","$26,347,631 ",48.10%,"3,372",19-Apr,4-Jul,Warner Bros.
52,Pet Sematary,"$54,724,696 ","3,585","$24,502,775 ",44.80%,"3,585",5-Apr,30-May,Paramount Pictures
53,What Men Want,"$54,611,903 ","2,912","$18,232,087 ",33.40%,"2,912",8-Feb,11-Apr,Paramount Pictures
54,Parasite,"$53,369,749 ","2,001","$393,216 ",0.70%,3,11-Oct,-,Neon
55,Ad Astra,"$50,188,370 ","3,460","$19,001,398 ",37.90%,"3,460",20-Sep,12-Dec,Twentieth Century Fox
56,Uncut Gems,"$50,023,780 ","2,686","$537,242 ",1.10%,5,13-Dec,-,A24
57,Isn't It Romantic,"$48,791,187 ","3,444","$14,247,758 ",29.20%,"3,444",13-Feb,9-May,Warner Bros.
58,Gemini Man,"$48,546,770 ","3,642","$20,552,372 ",42.30%,"3,642",11-Oct,-,Paramount Pictures
59,Ma,"$45,896,028 ","2,816","$18,099,805 ",39.40%,"2,808",31-May,18-Jul,Universal Pictures
60,Five Feet Apart,"$45,729,221 ","2,866","$13,190,286 ",28.80%,"2,803",15-Mar,30-May,Lionsgate
61,Wonder Park,"$45,216,793 ","3,838","$15,853,646 ",35.10%,"3,838",15-Mar,9-May,Paramount Pictures
62,Rambo: Last Blood,"$44,819,352 ","3,618","$18,872,919 ",42.10%,"3,618",20-Sep,21-Nov,Lionsgate
63,Playing with Fire,"$44,451,847 ","3,185","$12,723,781 ",28.60%,"3,125",8-Nov,-,Paramount Pictures
64,Queen & Slim,"$43,808,310 ","1,715","$11,890,490 ",27.10%,"1,690",27-Nov,30-Jan,Universal Pictures
65,Harriet,"$43,082,155 ","2,186","$11,676,720 ",27.10%,"2,059",1-Nov,23-Jan,Focus Features
66,A Dog's Way Home,"$42,004,346 ","3,090","$11,251,263 ",26.80%,"3,090",11-Jan,28-Mar,Sony Pictures Releasing
